Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1168.686195696,4114,47083654.033218734,55026016511.54904,1000000,deploy_ping_pong____2025-04-18-13-03-43
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1167.5047051319998,4132,47159291.14839488,55058694306.44089,1000000,deploy_ping_pong____2025-04-18-15-41-22
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1164.6824076720004,4121,47304703.83789771,55094956360.13362,1000000,deploy_ping_pong____2025-04-18-13-43-08
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1169.574961434002,4150,47116479.392222986,55106254568.06515,1000000,deploy_ping_pong____2025-04-18-15-21-39
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1168.4501020510015,4149,47163273.42359037,55107931644.853455,1000000,deploy_ping_pong____2025-04-18-14-02-47
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1169.19738236,4149,47012519.52257821,54966914763.946846,1000000,deploy_ping_pong____2025-04-18-14-42-15
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1167.7709237929994,4157,47207557.88073304,55127613476.3951,1000000,deploy_ping_pong____2025-04-18-13-23-26
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1165.036995288,4077,47165271.68614371,54949286407.16705,1000000,deploy_ping_pong____2025-04-18-12-04-38
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1170.5074605319987,4153,46916652.97522155,54916292330.68762,1000000,deploy_ping_pong____2025-04-18-14-22-30
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 100 50000 0 --no-server",1164.2420316830005,4112,47110293.13315445,54847783390.52544,1000000,deploy_ping_pong____2025-04-18-11-45-00
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1141.280389003994,5123,36054196.757706165,41147947700.86144,1000000,deploy_ping_pong____2025-04-18-04-20-14
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1147.08526098101,5134,35859970.56236272,41134443691.29917,1000000,deploy_ping_pong____2025-04-18-06-15-35
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1142.0685846050037,5127,36007396.66620489,41122916545.88355,1000000,deploy_ping_pong____2025-04-18-05-56-20
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1139.324018119005,5134,35798567.32390177,40786167566.37148,1000000,deploy_ping_pong____2025-04-18-05-37-08
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1138.1830226489983,5141,35861053.56778514,40816442345.15933,1000000,deploy_ping_pong____2025-04-18-04-58-44
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1147.6768538390024,5179,35570119.35124736,40823002667.71739,1000000,deploy_ping_pong____2025-04-18-04-00-53
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1140.7469431780046,5148,35791434.78316152,40828969820.84641,1000000,deploy_ping_pong____2025-04-18-03-03-13
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1144.305081936007,5167,35801585.299806096,40967935999.93356,1000000,deploy_ping_pong____2025-04-18-01-46-08
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1139.9415639670042,5141,35936335.261530586,40965322221.271774,1000000,deploy_ping_pong____2025-04-18-03-22-27
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 100000 0 --no-server",1144.1588295779948,5164,35722635.34049385,40872368640.62096,1000000,deploy_ping_pong____2025-04-18-02-24-41
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",575.7151511170086,2739,33134436.69856498,19075997231.091293,1000000,deploy_ping_pong____2025-04-18-00-47-46
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",575.3820835459919,2736,33189235.007259365,19096491189.774467,1000000,deploy_ping_pong____2025-04-17-23-58-54
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",573.2724368780036,2723,33419091.289729223,19158243901.911537,1000000,deploy_ping_pong____2025-04-18-00-38-01
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",572.1199634539953,2709,33118338.743552912,18947662751.61853,1000000,deploy_ping_pong____2025-04-18-00-18-29
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",576.1099727510009,2751,32835387.15766169,18916794000.669044,1000000,deploy_ping_pong____2025-04-18-00-28-13
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",576.4153863390093,2725,33405072.51705998,19255197780.603752,1000000,deploy_ping_pong____2025-04-18-00-08-41
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",573.1178731219989,2751,32902232.17810659,18856857326.88264,1000000,deploy_ping_pong____2025-04-18-00-57-33
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",580.1984920350078,2738,33295290.391987607,19317877277.298893,1000000,deploy_ping_pong____2025-04-17-23-19-30
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",569.1675547100022,2736,33082953.422940694,18829743702.32005,1000000,deploy_ping_pong____2025-04-18-01-36-27
deploy_ping_pong,,"['ping-pong-worker','ping-pong-worker2'] 50 50000 0 --no-server",576.0566894840013,2684,33580010.249875486,19343989537.382103,1000000,deploy_ping_pong____2025-04-17-23-39-19
