Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 100 100000 0 no-server",30.6448256939997,473,3010788.8697178047,92256225.72816445
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 100 200000 0 no-server",60.340916176199606,935,3011873.8778891033,181735576.10545018
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 100 50000 0 no-server",15.617776619000324,238,2954828.9354288667,46138107.19217912
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 100 500000 0 no-server",151.59106139199994,2355,3056751.965862838,463387156.8184908
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 200 100000 0 no-server",59.99618915200026,935,3397455.718707358,203836574.9463229
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 200 200000 0 no-server",119.03898797340007,1860,3469180.651237007,412968263.5970052
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 200 50000 0 no-server",30.75451843420069,470,3524792.291124531,108489125.41038175
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 200 500000 0 no-server",299.9379044573001,4674,3567407.412092763,1070034838.0108402
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 400 100000 0 no-server",119.37176823200062,1851,3837060.454188098,458028468.1579255
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 400 200000 0 no-server",238.40001716689986,3693,3861754.3377206028,920628598.5897614
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 400 50000 0 no-server",60.04928635859979,930,3760461.708337024,225808981.57736245
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 400 500000 0 no-server",591.4157491982005,9184,4021498.6436602697,2377546341.60884
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.81733215410022,274,2340899.316135277,41702275.925479814
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",34.90915320149988,536,2415162.816618077,84268963.61478218
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.882373921399994,136,2317392.0887321034,20574455.424287025
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",84.32505121470004,1312,2468295.7903751293,208128012.64025638
