Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",655.7911290159973,2663,44156235.00772213,28957267208.8098,1000000,deploy_ping_pong_lb____2025-04-19-00-50-36
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.3798972799996,2673,43989001.94755497,28961474583.680943,1000000,deploy_ping_pong_lb____2025-04-19-00-05-58
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.4253279149998,2676,43925161.07630836,28877513424.311207,1000000,deploy_ping_pong_lb____2025-04-18-23-21-17
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.7200710920006,2680,44155555.59766501,29041995166.803017,1000000,deploy_ping_pong_lb____2025-04-18-23-32-26
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.9947527740005,2656,44085992.180996336,29052437518.1122,1000000,deploy_ping_pong_lb____2025-04-18-22-47-38
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.3026613019974,2644,44163941.76564454,29073240397.91024,1000000,deploy_ping_pong_lb____2025-04-18-23-10-06
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",678.4228006180056,2675,42856502.47305161,29074828432.46015,1000000,deploy_ping_pong_lb____2025-04-18-22-25-00
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",655.8599888610042,2630,43967725.27730423,28836671810.616444,1000000,deploy_ping_pong_lb____2025-04-18-22-36-30
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",660.0829359659983,2662,44089884.02832048,29102980095.81416,1000000,deploy_ping_pong_lb____2025-04-18-23-43-36
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.3162026289938,2678,43822730.98056391,28805391116.97623,1000000,deploy_ping_pong_lb____2025-04-18-23-54-48
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",752.3434341609973,2983,44422584.66691882,33421039902.617367,1000000,deploy_ping_pong_lb____2025-04-19-03-57-44
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",740.431610751999,2918,45197805.3042409,33465883783.87433,1000000,deploy_ping_pong_lb____2025-04-19-02-41-40
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",752.1863592629961,2989,44929080.96733459,33795041837.851776,1000000,deploy_ping_pong_lb____2025-04-19-03-06-53
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",750.1700477160048,2960,45041235.44046067,33788585739.558186,1000000,deploy_ping_pong_lb____2025-04-19-01-51-10
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",748.797246963004,2964,44792159.21201235,33540245503.48341,1000000,deploy_ping_pong_lb____2025-04-19-02-03-53
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",746.9534818140019,2952,45169541.56147981,33739546341.289608,1000000,deploy_ping_pong_lb____2025-04-19-02-54-14
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",751.9957045210031,2983,44831160.39319848,33712840044.377377,1000000,deploy_ping_pong_lb____2025-04-19-03-45-00
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",753.4917279010042,2971,44711853.10566727,33690011454.245117,1000000,deploy_ping_pong_lb____2025-04-19-01-38-24
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",755.2706374279951,2988,44548070.11484878,33645849311.828854,1000000,deploy_ping_pong_lb____2025-04-19-01-12-58
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",748.6762843729957,2974,44932806.48143373,33640126602.97066,1000000,deploy_ping_pong_lb____2025-04-19-03-19-38
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",981.2116734579976,3736,46139353.46123328,45272472221.96677,1000000,deploy_ping_pong_lb____2025-04-19-04-23-04
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",985.323376632994,3757,45953766.02857766,45279319912.28072,1000000,deploy_ping_pong_lb____2025-04-19-07-09-16
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",982.3135471370042,3729,46099942.9295932,45284598461.98216,1000000,deploy_ping_pong_lb____2025-04-19-08-15-39
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",983.1472846479884,3750,46068138.72146954,45291765492.79962,1000000,deploy_ping_pong_lb____2025-04-19-07-42-31
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",984.4301916590048,3726,45960862.34804902,45245260530.10304,1000000,deploy_ping_pong_lb____2025-04-19-04-39-38
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",982.5585768949968,3717,46036055.88880529,45233121559.963066,1000000,deploy_ping_pong_lb____2025-04-19-06-36-03
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",983.9505850499992,3759,46056758.23168372,45317574207.57156,1000000,deploy_ping_pong_lb____2025-04-19-05-46-17
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",983.0819422649948,3741,46002052.90057644,45223787513.67572,1000000,deploy_ping_pong_lb____2025-04-19-06-52-39
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",978.202896650997,3733,46225169.63252863,45217594832.723206,1000000,deploy_ping_pong_lb____2025-04-19-07-59-07
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 0 --no-load-balancer",976.159111445013,3703,46308673.089020565,45204633174.7759,1000000,deploy_ping_pong_lb____2025-04-19-06-19-33
