Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",653.7737468439736,2675,43917896.28496253,28712367607.724983,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-35-34
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.3971824019973,2703,43817255.71152642,28717705933.92224,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-31-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",656.0975948999985,2687,43789787.15109937,28730374031.019157,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-02-13
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.1925115060003,2661,44057451.45785272,28733939916.85065,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-06-47
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",649.0849127790134,2640,44151461.74975009,28658047698.902485,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-46-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",654.4602678070078,2686,43756740.556285776,28637048142.82855,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-40-01
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.8575690969883,2670,43916817.12636062,28803176922.97186,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-19-54
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.9082509870059,2667,43834105.52366363,28619649171.03508,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-17-51
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",651.852523012989,2656,43870696.22973544,28597224023.68947,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-28-56
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",653.3823080979928,2666,44140958.07931434,28840921071.51915,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-08-48
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",652.8162258189986,2659,43976365.34390962,28708484849.04849,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-00-09
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",657.6285095080093,2676,44062840.422056414,28976980071.446224,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-53-30
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.3030399399868,2676,43896384.89772733,28721538080.95872,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-11-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.3163450580032,2660,44281153.14536637,28973882281.029827,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-38-00
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",657.9988036460127,2690,43717010.7516236,28765740773.548203,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-04-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.7212756279914,2660,44082914.29839951,28862021882.84755,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-22-21
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",650.1382619090145,2651,44451973.893614,28899929045.61909,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-49-07
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",652.3646325020236,2657,44151553.52934781,28802911992.566406,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-15-50
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",656.1177821369783,2663,43945528.56247525,28833442735.248493,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-42-22
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",650.6427215510048,2653,44254571.24212037,28793914674.04603,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-33-28
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",743.3494142460113,2936,44945759.60080601,33410404072.10119,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-42-47
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",740.8735870750097,2966,44628714.7246394,33064235964.590897,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-27-15
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",743.7873355210177,2973,44941738.98377273,33427096292.421368,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-07-58
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.3703199859883,2955,44572816.4996523,33089536047.523617,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-02-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",744.4156073010236,2978,44405833.870992295,33056395788.78309,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-30-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",739.9009508760064,2951,45071149.13658757,33348186103.235435,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-05-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.3642952530063,2948,44848346.03802494,33293810799.78134,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-20-35
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.5623084130057,2952,44751246.91403835,33230589212.84872,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-17-35
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.2902374250116,2978,44788094.73309828,33245765473.245438,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-45-48
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.6331298439763,2950,44910840.44825006,33352278006.007397,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-39-49
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.6579156630032,2959,44754621.69199112,33237374062.06036,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-21-25
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.409920532984,2981,44461543.25176523,33097613878.820385,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-36-51
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",743.667517488997,2964,44508237.29256289,33099330335.17144,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-11-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",739.5270170999866,2936,44762936.15173561,33103400648.930187,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-34-00
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",738.4621859999897,2931,44955770.4978206,33198136555.13445,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-56-16
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.6132697529974,2973,44571968.83174855,33188879451.13698,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-05-52
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",745.3357050999766,2981,44454621.12495562,33133616381.12112,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-53-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.932979671983,2961,44607527.03790154,33140402978.066746,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-31-04
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",741.2052104049944,2956,44720140.18045756,33146800911.79689,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-49-28
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.6441006810055,2964,44642157.35802658,33153234803.61158,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-46-32
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",978.6719604200334,3737,46558314.54925359,45565316973.77058,1000000,deploy_ping_pong_lb_prime____2025-04-21-15-31-47
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",985.4922431439628,3779,46221465.79701349,45550896009.700775,1000000,deploy_ping_pong_lb_prime____2025-04-21-17-11-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",985.2671688920236,3758,46104781.63968658,45425527678.51894,1000000,deploy_ping_pong_lb_prime____2025-04-21-15-48-19
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",976.6973235920304,3719,46637145.99762054,45550375675.84676,1000000,deploy_ping_pong_lb_prime____2025-04-21-16-04-57
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",983.5773919980276,3743,46300626.48328885,45540249444.30805,1000000,deploy_ping_pong_lb_prime____2025-04-21-13-35-44
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",980.1832135349978,3741,46438246.21604985,45517989406.9772,1000000,deploy_ping_pong_lb_prime____2025-04-21-16-54-41
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",980.7268683480216,3742,46416179.15879867,45521594027.089325,1000000,deploy_ping_pong_lb_prime____2025-04-21-14-42-08
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",981.3837212719956,3758,46363549.567023456,45500432805.464096,1000000,deploy_ping_pong_lb_prime____2025-04-21-16-21-28
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",981.7187514000108,3717,46348968.44340365,45501651428.93673,1000000,deploy_ping_pong_lb_prime____2025-04-21-14-58-42
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 100 --no-load-balancer",981.8269158760086,3736,46364547.36263104,45521960543.03916,1000000,deploy_ping_pong_lb_prime____2025-04-21-14-08-59
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",979.8969544269784,3748,46221905.3151027,45292704246.0813,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-17-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",975.5862446180254,3715,46512902.13646293,45377347521.5976,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-23-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.2866081179818,3746,46293713.70228168,45381107582.394646,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-56-21
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.7256806330116,3714,46241016.18296307,45349752069.19856,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-00-36
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",978.696313219989,3762,46333172.866531335,45346105464.25864,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-33-43
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",973.846155124018,3708,46562935.90683698,45345136104.15927,1000000,deploy_ping_pong_lb_prime____2025-04-21-09-27-33
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",983.772247314977,3764,46159641.6106244,45410574362.53789,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-39-43
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",982.5053242279972,3736,46136546.16723947,45329402250.80359,1000000,deploy_ping_pong_lb_prime____2025-04-21-09-10-57
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.1647417230124,3724,46346447.74761211,45427153986.317314,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-06-41
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",979.194118822983,3740,46437436.15818811,45471264379.31554,1000000,deploy_ping_pong_lb_prime____2025-04-21-12-29-37
