Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 100 no-load-balancer",187.689296491805,2592,8001571.4525342705,1501822071.3515418
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 50 no-load-balancer",106.94989848079277,1281,15926792.226825649,1703331252.816112
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 100 no-load-balancer",373.7879961638071,5155,8099865.339049196,3027544801.966632
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 50 no-load-balancer",212.1168852904928,2543,16041827.349416995,3402652181.2798705
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 100 no-load-balancer",94.6213910809136,1305,7903564.20857879,747838760.7992121
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.03068403840298,642,15854731.829091439,856573951.0255505
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 100000 100 no-load-balancer",365.54298984550405,4786,12220160.771578724,4466988632.259936
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 100000 50 no-load-balancer",211.18333965220955,2340,18181473.165819354,3839581181.3803415
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 200000 100 no-load-balancer",729.6774223447021,9560,12149453.906113477,8865178467.411476
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 200000 50 no-load-balancer",417.9528895524098,4659,18282511.368965704,7641211027.192072
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 50000 100 no-load-balancer",183.36041592270485,2386,12443765.997490173,2281697258.287878
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 50000 50 no-load-balancer",106.00798917299835,1180,17934254.903595664,1901141712.8381755
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 100000 100 no-load-balancer",118.8084547084989,1312,18556422.61612263,2204589705.418975
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 100000 50 no-load-balancer",95.64774315340328,1036,19059893.23369054,1822989434.645286
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 200000 100 no-load-balancer",237.7757563234016,2632,18708722.236456156,4448432307.958319
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 200000 50 no-load-balancer",190.7252797964844,2060,19304442.740396667,3681751791.156993
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 50000 100 no-load-balancer",60.01595506570884,682,18410822.326106254,1104931224.2003102
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 50000 50 no-load-balancer",48.591850298899224,521,18971609.00102046,921777440.5428321
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 100000 100 no-load-balancer",230.4336158294056,2223,21933691.56637119,5054241227.713482
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 100000 50 no-load-balancer",192.4193882302963,1845,22279558.182608582,4286972932.4746904
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 200000 100 no-load-balancer",460.2782023658976,4434,21824315.02754102,10045260910.008646
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 200000 50 no-load-balancer",385.5272695593943,3699,22493953.740424935,8671643647.66893
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 50000 100 no-load-balancer",114.68133412030875,1112,22724166.546943244,2606017578.7137804
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 50000 50 no-load-balancer",94.55794115190511,906,22328674.189594455,2111270153.436212
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 100000 100 no-load-balancer",118.5412884439982,1060,23590675.461264066,2796027880.670177
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 100000 50 no-load-balancer",101.09814998949878,955,22399147.40930256,2264388568.7009115
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 200000 100 no-load-balancer",236.63952360500116,2134,23294587.20897261,5512263425.771344
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 200000 50 no-load-balancer",202.67458328401554,1914,22049057.327960476,4468606716.0361805
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 50000 100 no-load-balancer",59.37193155080895,536,23880658.061482266,1417656955.9973502
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 50000 50 no-load-balancer",50.541655761300355,477,22111812.04217591,1117461396.1368046
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 100000 100 no-load-balancer",220.23397367870786,1631,27350939.297766935,6023480825.162227
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 100000 50 no-load-balancer",196.7671708127018,1577,26142778.971252687,5143923729.528074
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 200000 100 no-load-balancer",449.1435452003032,3313,27086945.311433565,12165651954.89509
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 200000 50 no-load-balancer",396.5110866951989,3183,25823165.91416027,10239201391.910404
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 50000 100 no-load-balancer",110.17234171070159,818,27718393.940650843,3053576113.387521
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 50000 50 no-load-balancer",98.88333645471138,788,26351343.09710828,2605596681.6760345
