Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
ping_pong,,--clients=100 --messages=100000,29.53410326560006,439,692277.7242555344,20443121.439034242
ping_pong,,--clients=100 --messages=200000,58.27990469029987,866,694034.1644516562,40447097.10366902
ping_pong,,--clients=100 --messages=50000,14.496158365000065,216,694703.5166875429,10064951.688020673
ping_pong,,--clients=100 --messages=500000,147.96888863169988,2194,703161.3867531682,104039127.64485224
ping_pong,,--clients=200 --messages=100000,54.80615524890027,834,730050.8294305559,40005265.43273979
ping_pong,,--clients=200 --messages=200000,109.60683589529981,1642,740494.5072492117,81159204.54501675
ping_pong,,--clients=200 --messages=50000,27.121273986900178,405,734456.6609320904,19893561.15764243
ping_pong,,--clients=200 --messages=500000,272.1572726194998,4072,744276.4448980839,202538258.2832144
ping_pong,,--clients=400 --messages=100000,95.48918545759952,1528,798303.859821047,76223240.03469698
ping_pong,,--clients=400 --messages=200000,190.07973630230117,3040,801643.2977664776,152366216.82190105
ping_pong,,--clients=400 --messages=50000,48.146172174399545,773,789822.7785170254,38018091.37918258
ping_pong,,--clients=400 --messages=500000,479.96681082709836,7660,799836.9319468641,383883391.2146511
ping_pong,,--clients=50 --messages=100000,15.45012919530003,227,660128.4888420415,10193934.782029979
ping_pong,,--clients=50 --messages=200000,30.91513786859997,456,665691.7741246781,20579830.208247557
ping_pong,,--clients=50 --messages=50000,7.4846330067000055,111,655621.0513658839,4905419.717067914
ping_pong,,--clients=50 --messages=500000,76.09580005349997,1126,670952.5542641005,51050478.69569784
