Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
ping_pong,main,100 100000,12.077502849600023,149,2537188.759504532,30637246.93696656
ping_pong,main,100 200000,22.631104125600086,289,2550630.4942682106,57718895.117187634
ping_pong,main,100 50000,6.770729905200005,79,2489070.2987606977,16836178.73508367
ping_pong,main,100 500000,56.80732344020002,718,2577390.604639188,146445598.07740766
ping_pong,main,200 100000,24.770142910699953,297,2668854.48340013,66120312.36140798
ping_pong,main,200 200000,51.158783427899834,602,2683881.045207616,137298321.35179836
ping_pong,main,200 50000,13.113290166299976,154,2618252.2674485403,34347195.67721471
ping_pong,main,200 500000,134.17496178279998,1534,2680328.8142611887,359663018.7572805
ping_pong,main,400 100000,62.26419169660039,671,2818472.732849343,175393873.13605458
ping_pong,main,400 200000,134.1327799020004,1386,2943631.0640176316,395320989.5988201
ping_pong,main,400 50000,30.028031332000317,328,2816501.2605115576,84532771.07095864
ping_pong,main,400 500000,372.46051886710046,3638,3013084.7367060026,1123193225.4921231
ping_pong,main,50 100000,5.618291277200006,74,2395895.093371147,13452911.3790855
ping_pong,main,50 200000,10.152432055499991,140,2345114.9742998527,23802469.232665643
ping_pong,main,50 50000,3.178640154699991,39,2595033.087679249,8231909.591795328
ping_pong,main,50 500000,24.469795851299978,345,2333592.4579661544,57096225.51163827
