Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.30348644180003,1171,1033698.4371605782,81959630.98455319
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,158.3783085756001,2330,1044806.0682785123,165451764.5101541
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,39.483566817999964,586,1025648.7678765524,40447912.75747642
ping_pong_lb,,--servers=2 --clients=200 --messages=500000,397.0577932419004,5816,1048184.8981296837,416185355.701
ping_pong_lb,,--servers=2 --clients=400 --messages=100000,138.38482907750077,2055,1156002.11451838,159958622.61762935
ping_pong_lb,,--servers=2 --clients=400 --messages=200000,273.3873392492998,4068,1161588.9281194427,317525108.2400044
ping_pong_lb,,--servers=2 --clients=400 --messages=50000,69.6727649186003,1032,1150628.0986055667,80135033.5289231
ping_pong_lb,,--servers=2 --clients=400 --messages=500000,687.3245586772,10331,878069.472733127,603470079.8438752
ping_pong_lb,,--servers=4 --clients=200 --messages=100000,79.39129067899975,1146,1072707.7068930522,85127754.81857747
ping_pong_lb,,--servers=4 --clients=200 --messages=200000,160.90736424639982,2331,1067662.8047558907,171764378.11033958
ping_pong_lb,,--servers=4 --clients=200 --messages=50000,39.5711029696,576,1044975.407357259,41340884.80083461
ping_pong_lb,,--servers=4 --clients=200 --messages=500000,395.9612698792007,5747,1074422.7578866018,425365920.96600074
ping_pong_lb,,--servers=4 --clients=400 --messages=100000,136.23288772860013,2037,882409.1769147379,120193403.18404421
ping_pong_lb,,--servers=4 --clients=400 --messages=200000,270.44341172000003,4012,889750.1482796872,240584601.11312094
ping_pong_lb,,--servers=4 --clients=400 --messages=50000,68.46505913230013,1011,876912.0866618896,60017451.63148151
ping_pong_lb,,--servers=4 --clients=400 --messages=500000,683.3661470163995,10098,894116.2953300329,610995350.237035
ping_pong_lb,,--servers=8 --clients=200 --messages=100000,76.68937799170052,1118,1087909.028535122,83399563.85397644
ping_pong_lb,,--servers=8 --clients=200 --messages=200000,154.2710985482001,2230,1093687.2642943615,168703988.72506607
ping_pong_lb,,--servers=8 --clients=200 --messages=50000,37.86357723619985,548,1095554.5508408134,41462440.48763279
ping_pong_lb,,--servers=8 --clients=200 --messages=500000,385.5994928418004,5582,1097583.047923954,423190735.1788714
ping_pong_lb,,--servers=8 --clients=400 --messages=100000,133.87617124509998,2003,885826.0057987992,118536624.24287038
ping_pong_lb,,--servers=8 --clients=400 --messages=200000,266.1735048519,3975,887755.7010803816,236263297.34687296
ping_pong_lb,,--servers=8 --clients=400 --messages=50000,67.90954042480007,1006,887571.1026813533,60244951.228697166
ping_pong_lb,,--servers=8 --clients=400 --messages=500000,675.5271072758012,10046,887529.9240864174,599516666.9461449
