Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
ping_pong_lb,main,2 200 100000,14.238441489499985,198,9742637.398521025,138799847.47109693
ping_pong_lb,main,2 200 200000,28.69344491040001,396,9934580.887339773,285395481.10335886
ping_pong_lb,main,2 200 50000,7.028506230600016,98,8667591.158983741,60872619.82676581
ping_pong_lb,main,2 200 500000,68.39785365140003,970,9603643.628888749,656696585.3729502
ping_pong_lb,main,2 400 100000,35.633563297099684,454,12073232.146897856,427275530.4366342
ping_pong_lb,main,2 400 200000,71.87213989189986,916,11957519.440081242,854818861.981424
ping_pong_lb,main,2 400 50000,15.27074892310011,201,11612226.830246737,177685145.90940684
ping_pong_lb,main,2 400 500000,178.6795048011998,2269,12234972.049102139,2181382260.6489806
ping_pong_lb,main,4 200 100000,19.037436949300172,282,6568677.817716275,125069084.86764565
ping_pong_lb,main,4 200 200000,38.110387508700114,564,6997436.8988574995,266629578.32500258
ping_pong_lb,main,4 200 50000,9.650598839099985,142,6393952.442646897,61688452.3049583
ping_pong_lb,main,4 200 500000,95.04006245639985,1398,7190462.372023973,683295502.8892167
ping_pong_lb,main,4 400 100000,40.850064360300166,586,8127601.865450563,331994371.406096
ping_pong_lb,main,4 400 200000,81.08987705460041,1166,8413452.47673951,682212463.720307
ping_pong_lb,main,4 400 50000,20.564481671400063,296,8066638.480506631,165898040.45566335
ping_pong_lb,main,4 400 500000,204.6892727815004,2919,8925237.359318245,1826964565.6674476
ping_pong_lb,main,8 200 100000,23.727682391600048,349,5836712.2008611625,138427884.2867524
ping_pong_lb,main,8 200 200000,47.29866417249987,698,5914919.470005788,279670095.273841
ping_pong_lb,main,8 200 50000,12.019814552400021,176,5926049.249019539,71197698.88427894
ping_pong_lb,main,8 200 500000,118.62651005669996,1739,6518627.023940473,773139700.3416593
ping_pong_lb,main,8 400 100000,48.81285774720018,727,6723903.1168361185,328222713.39885676
ping_pong_lb,main,8 400 200000,97.58163963840016,1448,6992975.093727453,682426481.1536134
ping_pong_lb,main,8 400 50000,24.57405369459957,362,7045492.066820554,173122241.14639878
ping_pong_lb,main,8 400 500000,243.26360443960002,3563,8336358.94308991,2027992612.1286194
