Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
ping_pong_lb_prime,main,2 200 100000 100,226.8089872277982,3623,1587864.4289309278,359941982.1875252
ping_pong_lb_prime,main,2 200 100000 50,119.81035801770004,1897,1917560.1644987203,229157594.4075133
ping_pong_lb_prime,main,2 200 200000 100,448.68428197579925,7205,1605058.694557768,720173025.8891989
ping_pong_lb_prime,main,2 200 200000 50,233.4575348903004,3784,2016187.5710435875,470426550.8166256
ping_pong_lb_prime,main,2 200 50000 100,115.07900888270088,1810,1562212.0282588569,179527205.24161795
ping_pong_lb_prime,main,2 200 50000 50,59.224368469500085,954,2017007.2489144683,119384261.45368657
ping_pong_lb_prime,main,2 400 100000 100,509.99673474109875,7813,1494452.4706748675,761374475.9894061
ping_pong_lb_prime,main,2 400 100000 50,231.4190575113993,3730,2125086.354874386,491620316.02236235
ping_pong_lb_prime,main,2 400 200000 100,1014.9721230521012,15682,1510490.2268582452,1531740755.3955264
ping_pong_lb_prime,main,2 400 200000 50,465.3885432144998,7471,2118766.2726909006,985339512.6823746
ping_pong_lb_prime,main,2 400 50000 100,249.28113681609975,3905,1497784.5566405603,373305919.8115603
ping_pong_lb_prime,main,2 400 50000 50,116.95730361069946,1871,2099879.9849901474,245302394.7856702
ping_pong_lb_prime,main,4 200 100000 100,147.9324713371985,2344,3013651.837190005,445775865.9624117
ping_pong_lb_prime,main,4 200 100000 50,75.5171408148999,1164,3556697.107945497,268581363.213379
ping_pong_lb_prime,main,4 200 200000 100,295.2998202339004,4693,2962110.3948704395,874572749.9757645
ping_pong_lb_prime,main,4 200 200000 50,152.26644420570045,2373,3469631.0062658982,528246321.5313199
ping_pong_lb_prime,main,4 200 50000 100,74.25114450980035,1175,2970776.136944634,220521317.0428876
ping_pong_lb_prime,main,4 200 50000 50,38.051882514699535,586,3465932.416088986,131869705.38222897
ping_pong_lb_prime,main,4 400 100000 100,309.33740553340175,4902,2853207.652084557,882572063.520509
ping_pong_lb_prime,main,4 400 100000 50,158.98479936910007,2463,3354022.8537939102,533177808.87511903
ping_pong_lb_prime,main,4 400 200000 100,617.3836978437961,9806,2853779.404384476,1761807873.759929
ping_pong_lb_prime,main,4 400 200000 50,318.1143802060986,4928,3364661.7932317653,1070090154.7585394
ping_pong_lb_prime,main,4 400 50000 100,155.0351102531975,2458,2806527.6533998335,435029344.4349719
ping_pong_lb_prime,main,4 400 50000 50,79.95200167910006,1242,3305302.4822834358,264192874.5580309
ping_pong_lb_prime,main,8 200 100000 100,146.2023666123976,2144,6110589.391319992,892992575.0827297
ping_pong_lb_prime,main,8 200 100000 50,73.571666223399,1070,6494337.782185552,477575479.8170611
ping_pong_lb_prime,main,8 200 200000 100,296.3593139046992,4327,6076150.6365236025,1800649085.2869396
ping_pong_lb_prime,main,8 200 200000 50,146.461099281301,2127,6577339.904767921,963228313.8108432
ping_pong_lb_prime,main,8 200 50000 100,73.48198847839812,1070,6006719.343196511,441306841.10516834
ping_pong_lb_prime,main,8 200 50000 50,37.04766951499987,540,6326417.844282904,234360791.2407561
ping_pong_lb_prime,main,8 400 100000 100,292.2002441430959,4227,6763548.3120377315,1976251109.0993638
ping_pong_lb_prime,main,8 400 100000 50,146.99233960779966,2109,7254565.839124951,1066125926.7785476
ping_pong_lb_prime,main,8 400 200000 100,596.6873514989013,8631,6820128.054655554,4069144156.337574
ping_pong_lb_prime,main,8 400 200000 50,295.8621346909014,4241,7424987.934229496,2196548127.4340634
ping_pong_lb_prime,main,8 400 50000 100,147.76619173740036,2129,6732294.615850994,994487724.2647345
ping_pong_lb_prime,main,8 400 50000 50,73.79853271200045,1052,7320951.475650003,540132661.8521645
