Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
prime_calculation,,4000000,1.0747019209993596,19,388025.2421052632,417011.473086768,1000000,prime_calculation____2025-03-24-16-37-20
prime_calculation,,4000000,1.0617309199988083,17,394604.6341176471,418963.94121752266,1000000,prime_calculation____2025-03-24-16-39-22
prime_calculation,,4000000,1.0816027030014084,19,389088.50157894735,420839.1750145572,1000000,prime_calculation____2025-03-24-16-36-46
prime_calculation,,4000000,1.051088313000946,17,402320.4882352942,422874.3632649523,1000000,prime_calculation____2025-03-24-16-38-37
prime_calculation,,4000000,1.0786082439990423,18,393567.8111111112,424505.48563710233,1000000,prime_calculation____2025-03-24-16-37-09
prime_calculation,,4000000,1.0397801689978223,18,395238.6672222223,410961.3281987963,1000000,prime_calculation____2025-03-24-16-38-04
prime_calculation,,4000000,1.0982801680002012,19,389785.1826315788,428093.3358645995,1000000,prime_calculation____2025-03-24-16-38-48
prime_calculation,,4000000,1.0628364799995325,18,383109.20722222223,407182.44125947816,1000000,prime_calculation____2025-03-24-16-38-15
prime_calculation,,4000000,1.0725757830005025,18,402394.7700000001,431598.8855080571,1000000,prime_calculation____2025-03-24-16-37-42
prime_calculation,,4000000,1.0638782419991912,17,407484.894117647,433514.3127951089,1000000,prime_calculation____2025-03-24-16-36-58
prime_calculation,,8000000,2.798712666000938,50,357291.17139999993,999955.326847492,1000000,prime_calculation____2025-03-24-16-41-03
prime_calculation,,8000000,2.760957475999021,50,360937.903,996534.2016592594,1000000,prime_calculation____2025-03-24-16-39-46
prime_calculation,,8000000,2.768860838001274,51,359868.3298039216,996425.3252310052,1000000,prime_calculation____2025-03-24-16-40-50
prime_calculation,,8000000,2.784357890999672,50,361294.7736000001,1005973.9538501004,1000000,prime_calculation____2025-03-24-16-41-54
prime_calculation,,8000000,2.7543340330012143,49,359067.8418367347,988992.7769272156,1000000,prime_calculation____2025-03-24-16-40-37
prime_calculation,,8000000,2.790863430000172,50,353137.5902,985558.7862475672,1000000,prime_calculation____2025-03-24-16-40-24
prime_calculation,,8000000,2.772017354000127,50,354213.018,981884.6329087592,1000000,prime_calculation____2025-03-24-16-39-59
prime_calculation,,8000000,2.7719435389990394,49,352131.10693877545,976087.5467595184,1000000,prime_calculation____2025-03-24-16-41-28
prime_calculation,,8000000,2.7939044869999634,51,367308.3462745097,1026224.4367688892,1000000,prime_calculation____2025-03-24-16-41-41
prime_calculation,,8000000,2.757105108998076,50,377556.739,1040963.6140335528,1000000,prime_calculation____2025-03-24-16-42-20
prime_calculation,,12000000,4.870827648999693,88,369034.48011363647,1797503.349171728,1000000,prime_calculation____2025-03-24-16-45-45
prime_calculation,,12000000,4.922098513001401,87,365438.9272413794,1798726.4003676209,1000000,prime_calculation____2025-03-24-16-44-15
prime_calculation,,12000000,4.938915546998032,88,365236.566590909,1803872.557068023,1000000,prime_calculation____2025-03-24-16-44-00
prime_calculation,,12000000,4.91498542699992,88,363661.1313636364,1787389.1610185762,1000000,prime_calculation____2025-03-24-16-45-00
prime_calculation,,12000000,4.949917510002706,88,360695.9607954547,1785415.2521286707,1000000,prime_calculation____2025-03-24-16-43-30
prime_calculation,,12000000,4.870455408999987,88,366533.8578409091,1785186.8105028882,1000000,prime_calculation____2025-03-24-16-43-45
prime_calculation,,12000000,4.956629367999994,88,365637.08079545456,1812327.4927005367,1000000,prime_calculation____2025-03-24-16-45-15
prime_calculation,,12000000,4.891283365999698,88,363801.3759090909,1779455.6185119397,1000000,prime_calculation____2025-03-24-16-46-14
prime_calculation,,12000000,4.851029532001121,87,366281.0141379312,1776840.016594424,1000000,prime_calculation____2025-03-24-16-43-00
prime_calculation,,12000000,4.936284498999157,90,368450.2763333333,1818775.387716189,1000000,prime_calculation____2025-03-24-16-44-30
