Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
prime_calculation,main,4000000,19.54113499400046,323,538655.2252012384,10525934.470881118,1000000,prime_calculation__main__2025-03-24-15-04-45
prime_calculation,main,4000000,19.22094883999671,318,547528.9289937109,10524025.532606307,1000000,prime_calculation__main__2025-03-24-15-07-13
prime_calculation,main,4000000,19.263984776000143,316,546657.2981645572,10530797.8695314,1000000,prime_calculation__main__2025-03-24-15-02-18
prime_calculation,main,4000000,19.383731341000384,321,542595.9721806856,10517534.55145933,1000000,prime_calculation__main__2025-03-24-15-06-14
prime_calculation,main,4000000,19.40781767500084,319,542961.9997805643,10537707.49619504,1000000,prime_calculation__main__2025-03-24-15-09-11
prime_calculation,main,4000000,19.5200833279996,321,537771.9820560751,10497353.901198093,1000000,prime_calculation__main__2025-03-24-15-03-17
prime_calculation,main,4000000,19.590145456000755,321,534575.0588785048,10472403.160580076,1000000,prime_calculation__main__2025-03-24-15-04-16
prime_calculation,main,4000000,19.42105156300022,318,546496.058301887,10613528.12725732,1000000,prime_calculation__main__2025-03-24-15-05-44
prime_calculation,main,4000000,19.515355442999866,322,534285.0593788819,10426762.841663169,1000000,prime_calculation__main__2025-03-24-15-05-15
prime_calculation,main,4000000,19.32733596199978,318,551021.7479245284,10649782.444505716,1000000,prime_calculation__main__2025-03-24-15-08-11
prime_calculation,main,8000000,53.3876691559999,884,503994.1980769228,26907075.50347424,1000000,prime_calculation__main__2025-03-24-15-12-51
prime_calculation,main,8000000,53.19298021599752,877,505991.92500570137,26915218.456282776,1000000,prime_calculation__main__2025-03-24-15-24-30
prime_calculation,main,8000000,53.30971755000064,875,504893.2769600004,26915717.98763187,1000000,prime_calculation__main__2025-03-24-15-21-20
prime_calculation,main,8000000,53.92283214300187,879,499577.5343003412,26938635.52449206,1000000,prime_calculation__main__2025-03-24-15-19-12
prime_calculation,main,8000000,53.38282609900125,880,503305.7356590904,26867882.561319117,1000000,prime_calculation__main__2025-03-24-15-13-55
prime_calculation,main,8000000,53.54885283200201,874,503427.7102860412,26957976.36965897,1000000,prime_calculation__main__2025-03-24-15-18-09
prime_calculation,main,8000000,53.31954646699887,875,503230.36365714273,26832014.758621763,1000000,prime_calculation__main__2025-03-24-15-20-16
prime_calculation,main,8000000,53.77234369000144,884,501791.5772850676,26982509.15452057,1000000,prime_calculation__main__2025-03-24-15-09-40
prime_calculation,main,8000000,53.25158688399824,881,503384.6452780926,26806031.174096983,1000000,prime_calculation__main__2025-03-24-15-10-44
prime_calculation,main,8000000,53.08237516900044,875,504571.569851428,26783857.370465018,1000000,prime_calculation__main__2025-03-24-15-23-26
prime_calculation,main,12000000,166.3586678569991,2680,446974.3497835817,74358057.396245,1000000,prime_calculation__main__2025-03-24-15-52-15
prime_calculation,main,12000000,165.4374038249989,2690,450036.0629776956,74452797.88665366,1000000,prime_calculation__main__2025-03-24-15-55-12
prime_calculation,main,12000000,163.25671573599902,2632,456397.519262919,74509960.06492151,1000000,prime_calculation__main__2025-03-24-16-15-40
prime_calculation,main,12000000,166.50610799300193,2668,447592.9444227887,74526959.14096656,1000000,prime_calculation__main__2025-03-24-15-37-39
prime_calculation,main,12000000,163.7296705990011,2662,455408.3421262216,74563857.84436347,1000000,prime_calculation__main__2025-03-24-16-04-00
prime_calculation,main,12000000,165.22777144000065,2667,449147.4280539933,74211628.58536935,1000000,prime_calculation__main__2025-03-24-15-43-32
prime_calculation,main,12000000,166.4230445079993,2675,445181.6987177566,74088493.65985194,1000000,prime_calculation__main__2025-03-24-15-40-36
prime_calculation,main,12000000,166.70819971600213,2696,443500.0654488124,73935097.48490062,1000000,prime_calculation__main__2025-03-24-16-01-03
prime_calculation,main,12000000,165.98158304299795,2699,451448.3137273064,74932105.7745503,1000000,prime_calculation__main__2025-03-24-15-58-07
prime_calculation,main,12000000,163.12773405500047,2673,452061.2146913575,73743721.60675225,1000000,prime_calculation__main__2025-03-24-15-46-27
