Module,Function,Parameter,Runtime (s),Samples,Sample frequency (ns),Consumption (μJ), File
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.225616306999655,172,1000000,341838.8072321902,deploy_ping_pong__deploy__2025-03-16-16-16-07
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.238488480999877,173,1000000,349922.88638579723,deploy_ping_pong__deploy__2025-03-16-16-16-27
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.259731758000271,171,1000000,507463.39654455835,deploy_ping_pong__deploy__2025-03-16-16-16-48
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.279704522999964,173,1000000,504104.46858127957,deploy_ping_pong__deploy__2025-03-16-16-17-08
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.232862394999756,168,1000000,183791.3164099163,deploy_ping_pong__deploy__2025-03-16-16-17-29
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.248094093998589,175,1000000,413442.2648609669,deploy_ping_pong__deploy__2025-03-16-16-17-49
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.28953949499919,174,1000000,512787.54241564503,deploy_ping_pong__deploy__2025-03-16-16-23-58
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.235367170000245,176,1000000,381187.0481044126,deploy_ping_pong__deploy__2025-03-16-16-24-18
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500",10.214120513001035,174,1000000,399047.8455484511,deploy_ping_pong__deploy__2025-03-16-16-24-39
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500 no-server",10.252733189001447,173,1000000,470046.08198740863,deploy_ping_pong__deploy__2025-03-16-16-28-45
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500 no-server",10.274677300998519,171,1000000,446558.7890276112,deploy_ping_pong__deploy__2025-03-16-16-29-05
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500 no-server",10.307699843999217,179,1000000,567557.8173637512,deploy_ping_pong__deploy__2025-03-16-16-29-26
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500 no-server",10.201156355000421,173,1000000,446976.19908269943,deploy_ping_pong__deploy__2025-03-16-16-29-46
deploy_ping_pong,deploy,"['server@localhost','client1@localhost','client2@localhost','client3@localhost'] 4 20 500 no-server",10.26368208399981,172,1000000,448088.88579174434,deploy_ping_pong__deploy__2025-03-16-16-30-07
