Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.593451253999774,131,2543153.4072519094,21854464.836662717,1000000,deploy_ping_pong__main__2025-04-17-01-17-25
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.954967306999606,137,2240826.156627736,20066524.973270956,1000000,deploy_ping_pong__main__2025-04-17-01-17-44
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.797369634999995,133,2405211.40711278,21159533.79868958,1000000,deploy_ping_pong__main__2025-04-17-01-18-03
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.788619829999334,136,2291208.95717647,20136564.47571322,1000000,deploy_ping_pong__main__2025-04-17-01-18-22
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.849219182000525,137,2251859.2471824805,19927196.04533247,1000000,deploy_ping_pong__main__2025-04-17-01-18-41
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.652799362000223,133,2280848.3993233093,19735723.57448396,1000000,deploy_ping_pong__main__2025-04-17-01-18-59
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.576622729000519,131,2420142.1198473275,20756645.912494086,1000000,deploy_ping_pong__main__2025-04-17-01-19-18
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",9.32998364299965,139,2222057.914510793,20731763.996183615,1000000,deploy_ping_pong__main__2025-04-17-01-19-37
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",9.053674401000535,137,2289536.4187591258,20728717.264677938,1000000,deploy_ping_pong__main__2025-04-17-01-19-56
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",9.086618770000314,138,2166802.2617971017,19688906.10292468,1000000,deploy_ping_pong__main__2025-04-17-01-20-15
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",9.170175441000538,137,2391133.122065695,21927110.23212978,1000000,deploy_ping_pong__main__2025-04-17-01-20-34
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.859741781000594,138,2268970.843891305,20102495.78549597,1000000,deploy_ping_pong__main__2025-04-17-01-20-53
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.744113466999806,134,2371520.9979850748,20736848.695754115,1000000,deploy_ping_pong__main__2025-04-17-01-21-12
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.853644871999677,136,2445368.496176472,21650424.246322382,1000000,deploy_ping_pong__main__2025-04-17-01-21-31
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 50000 0 no-server",8.869427238999378,136,2412586.8242279408,21398263.295258302,1000000,deploy_ping_pong__main__2025-04-17-01-21-50
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",18.147895378000612,282,2260891.403131206,41030420.64504613,1000000,deploy_ping_pong__main__2025-04-17-01-22-09
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",16.732326772000306,263,2548248.2281558905,42638122.04967515,1000000,deploy_ping_pong__main__2025-04-17-01-22-37
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.607348110000203,275,2314612.7461454547,40754192.36122655,1000000,deploy_ping_pong__main__2025-04-17-01-23-04
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.849519524999778,280,2281776.0220000003,40728605.65636533,1000000,deploy_ping_pong__main__2025-04-17-01-23-32
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.501204680000228,277,2321425.2178411535,40627737.88675214,1000000,deploy_ping_pong__main__2025-04-17-01-24-00
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.706777988000795,274,2389168.0785328457,42304468.74259955,1000000,deploy_ping_pong__main__2025-04-17-01-24-27
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.75058769200041,276,2324815.046666668,41266833.35353871,1000000,deploy_ping_pong__main__2025-04-17-01-24-55
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.605037568000625,271,2358619.854206643,41523591.14194011,1000000,deploy_ping_pong__main__2025-04-17-01-25-23
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.918974135999633,274,2372725.911700731,42516814.24358155,1000000,deploy_ping_pong__main__2025-04-17-01-25-50
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",18.76940884600026,283,2280914.279469967,42811412.65405191,1000000,deploy_ping_pong__main__2025-04-17-01-26-18
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",18.03488735800056,276,2309465.274601451,41650946.084651,1000000,deploy_ping_pong__main__2025-04-17-01-26-47
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.78853525300019,270,2368573.465762962,42133452.59504529,1000000,deploy_ping_pong__main__2025-04-17-01-27-15
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",18.08623107999938,272,2302499.968477943,41643546.49158336,1000000,deploy_ping_pong__main__2025-04-17-01-27-43
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",18.2171074959997,275,2366965.156276363,43119258.69117223,1000000,deploy_ping_pong__main__2025-04-17-01-28-11
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 100000 0 no-server",17.527046977999817,268,2407621.4121268676,42198493.59558587,1000000,deploy_ping_pong__main__2025-04-17-01-28-39
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.05678000400076,541,2424786.372125697,85005202.40430968,1000000,deploy_ping_pong__main__2025-04-17-01-29-07
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.73905006299992,544,2487373.2065753643,88896355.5551616,1000000,deploy_ping_pong__main__2025-04-17-01-29-52
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",34.34270643000036,528,2418931.0728295483,83072639.708591,1000000,deploy_ping_pong__main__2025-04-17-01-30-38
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",36.04661579799995,553,2369497.7772115767,85412376.00936058,1000000,deploy_ping_pong__main__2025-04-17-01-31-22
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",33.37801972000034,524,2434480.178311072,81258127.3996169,1000000,deploy_ping_pong__main__2025-04-17-01-32-08
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.035261621000245,539,2368392.36667903,82977246.18777975,1000000,deploy_ping_pong__main__2025-04-17-01-32-52
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",34.276497062999624,526,2549921.388528518,87402372.98477767,1000000,deploy_ping_pong__main__2025-04-17-01-33-37
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.3358795690001,537,2402733.53484171,84902702.82356456,1000000,deploy_ping_pong__main__2025-04-17-01-34-21
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",33.46658681400004,517,2425812.0775048337,81183650.4862653,1000000,deploy_ping_pong__main__2025-04-17-01-35-07
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.43294546400011,542,2404566.9269335777,85200888.78657581,1000000,deploy_ping_pong__main__2025-04-17-01-35-50
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",33.33883868299927,516,2482650.5048527173,82768684.68755142,1000000,deploy_ping_pong__main__2025-04-17-01-36-36
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",35.510605793999275,542,2365034.3312177076,83983801.82514673,1000000,deploy_ping_pong__main__2025-04-17-01-37-19
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",32.97915551499955,519,2517748.0482851625,83033204.43198296,1000000,deploy_ping_pong__main__2025-04-17-01-38-05
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",36.012743136999234,544,2397287.231204043,86332889.2829593,1000000,deploy_ping_pong__main__2025-04-17-01-38-48
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 200000 0 no-server",33.100586827999905,520,2414559.0067499997,79923320.05425757,1000000,deploy_ping_pong__main__2025-04-17-01-39-34
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",84.66867775300034,1318,2444409.7081289836,206964937.87387854,1000000,deploy_ping_pong__main__2025-04-17-01-40-17
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",86.18473602099948,1321,2480048.423001513,213742318.65568143,1000000,deploy_ping_pong__main__2025-04-17-01-41-52
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",84.68009904600058,1308,2533366.014493118,214525685.02704898,1000000,deploy_ping_pong__main__2025-04-17-01-43-28
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",85.66759408399957,1326,2517431.6520211142,215662312.8995573,1000000,deploy_ping_pong__main__2025-04-17-01-45-03
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",83.9988685749995,1313,2434293.9305506498,204477935.945243,1000000,deploy_ping_pong__main__2025-04-17-01-46-39
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",85.3610884009995,1324,2503736.283119334,213721654.1961394,1000000,deploy_ping_pong__main__2025-04-17-01-48-13
deploy_ping_pong,main,"['node1@localhost','node2@localhost'] 50 500000 0 no-server",86.47579350099932,1315,2621664.8467019005,226710547.91222256,1000000,deploy_ping_pong__main__2025-04-17-01-49-48
