Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",678.4228006180056,2675,42856502.47305161,29074828432.46015,1000000,deploy_ping_pong_lb____2025-04-18-22-25-00
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",655.8599888610042,2630,43967725.277304225,28836671810.616444,1000000,deploy_ping_pong_lb____2025-04-18-22-36-30
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.9947527740005,2656,44085992.180996336,29052437518.1122,1000000,deploy_ping_pong_lb____2025-04-18-22-47-38
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",663.9472850029997,2660,44585611.541035935,29602495732.86922,1000000,deploy_ping_pong_lb____2025-04-18-22-58-50
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.3026613019974,2644,44163941.76564454,29073240397.910236,1000000,deploy_ping_pong_lb____2025-04-18-23-10-06
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.4253279149998,2676,43925161.076308355,28877513424.311207,1000000,deploy_ping_pong_lb____2025-04-18-23-21-17
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.7200710920006,2680,44155555.59766501,29041995166.803017,1000000,deploy_ping_pong_lb____2025-04-18-23-32-26
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",660.0829359659983,2662,44089884.02832048,29102980095.81416,1000000,deploy_ping_pong_lb____2025-04-18-23-43-36
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.3162026289938,2678,43822730.98056391,28805391116.97623,1000000,deploy_ping_pong_lb____2025-04-18-23-54-48
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",658.3798972799996,2673,43989001.94755497,28961474583.680943,1000000,deploy_ping_pong_lb____2025-04-19-00-05-58
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",656.7081581679959,2682,43711687.59062959,28705821848.0572,1000000,deploy_ping_pong_lb____2025-04-19-00-17-09
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",657.704284862004,2688,43712231.62396084,28749722039.95944,1000000,deploy_ping_pong_lb____2025-04-19-00-28-18
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",655.8203019409993,2667,43676155.00293362,28643709161.645817,1000000,deploy_ping_pong_lb____2025-04-19-00-39-28
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",655.7911290159973,2663,44156235.00772213,28957267208.8098,1000000,deploy_ping_pong_lb____2025-04-19-00-50-36
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 0 --no-load-balancer",661.9335349490066,2664,44263737.50846534,29299652239.033398,1000000,deploy_ping_pong_lb____2025-04-19-01-01-44
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",755.2706374279951,2988,44548070.11484878,33645849311.828854,1000000,deploy_ping_pong_lb____2025-04-19-01-12-58
deploy_ping_pong_lb,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 0 --no-load-balancer",745.4672256769991,2956,44478420.96068041,33157205076.05211,1000000,deploy_ping_pong_lb____2025-04-19-01-25-46
