Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",47.67173440400802,526,12114883.095414432,577537489.2602034,1000000,deploy_ping_pong_lb__main__2025-04-19-13-56-39
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.366537533001974,514,14691061.388033064,681173649.2478712,1000000,deploy_ping_pong_lb__main__2025-04-19-13-57-37
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.45774595699913,515,16051800.501883496,729678669.3670511,1000000,deploy_ping_pong_lb__main__2025-04-19-13-58-33
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.04696146999777,521,15519851.357405005,714641997.4745208,1000000,deploy_ping_pong_lb__main__2025-04-19-13-59-29
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.01533152499178,519,15734459.85025434,724026386.3761259,1000000,deploy_ping_pong_lb__main__2025-04-19-14-00-25
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.69440399300947,517,15819143.410827894,722846329.8377236,1000000,deploy_ping_pong_lb__main__2025-04-19-14-01-21
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.08938699599821,521,15505313.653710179,714630401.4801835,1000000,deploy_ping_pong_lb__main__2025-04-19-14-02-17
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.31775066800765,524,15391963.248124018,712921116.0177454,1000000,deploy_ping_pong_lb__main__2025-04-19-14-03-13
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.459197561998735,531,15065296.899725016,699921604.9944916,1000000,deploy_ping_pong_lb__main__2025-04-19-14-04-09
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.69555965899781,519,15582389.297859373,712045999.790062,1000000,deploy_ping_pong_lb__main__2025-04-19-14-05-06
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.523069164992194,532,15212176.729539484,707717150.1384501,1000000,deploy_ping_pong_lb__main__2025-04-19-14-06-01
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.9262745110027,526,15215320.285323154,698782976.1965791,1000000,deploy_ping_pong_lb__main__2025-04-19-14-06-58
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.675872086998424,525,15280383.964902885,697944863.421126,1000000,deploy_ping_pong_lb__main__2025-04-19-14-07-54
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.4160223009967,513,15364054.064680355,697774222.035242,1000000,deploy_ping_pong_lb__main__2025-04-19-14-08-50
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",45.94754872300837,515,15473300.73831456,710960239.5794696,1000000,deploy_ping_pong_lb__main__2025-04-19-14-09-45
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.86515943000268,1057,15431523.530081393,1402187845.8086834,1000000,deploy_ping_pong_lb__main__2025-04-19-14-10-41
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",89.75492196501,1036,15783069.600864915,1416608180.393952,1000000,deploy_ping_pong_lb__main__2025-04-19-14-12-22
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.96877565600153,1043,15558567.600455355,1415343845.574557,1000000,deploy_ping_pong_lb__main__2025-04-19-14-14-02
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.13873205099662,1036,15444802.779610043,1392174939.3317575,1000000,deploy_ping_pong_lb__main__2025-04-19-14-15-43
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",89.8292234519904,1028,15751663.778098289,1414959725.2634146,1000000,deploy_ping_pong_lb__main__2025-04-19-14-17-24
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.52119559400307,1038,15385676.8472852,1392729863.2392282,1000000,deploy_ping_pong_lb__main__2025-04-19-14-19-04
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",89.67864317899512,1026,15654944.446385944,1403914176.9944363,1000000,deploy_ping_pong_lb__main__2025-04-19-14-20-44
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.58943695601192,1047,15678239.457642768,1420282884.929388,1000000,deploy_ping_pong_lb__main__2025-04-19-14-22-24
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.57723009701294,1046,15529266.477671124,1406597942.9858472,1000000,deploy_ping_pong_lb__main__2025-04-19-14-24-05
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.61758142799954,1040,15414805.79250384,1396852419.0990157,1000000,deploy_ping_pong_lb__main__2025-04-19-14-25-45
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.28194972100027,1052,15552302.850829821,1404092224.0243871,1000000,deploy_ping_pong_lb__main__2025-04-19-14-27-26
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",89.81272170999728,1031,15571601.348778812,1398527898.5168898,1000000,deploy_ping_pong_lb__main__2025-04-19-14-29-06
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.65706389299885,1057,15622465.095415412,1416286816.3212192,1000000,deploy_ping_pong_lb__main__2025-04-19-14-30-46
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",91.01906791099464,1048,15451785.76381773,1406407137.783066,1000000,deploy_ping_pong_lb__main__2025-04-19-14-32-27
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.36784881699714,1036,15602369.760785729,1409952591.7295725,1000000,deploy_ping_pong_lb__main__2025-04-19-14-34-08
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",179.84697526099626,2073,15872267.53733866,2854579307.12366,1000000,deploy_ping_pong_lb__main__2025-04-19-14-35-49
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",180.72916991300008,2070,15636678.30970768,2826003891.110082,1000000,deploy_ping_pong_lb__main__2025-04-19-14-38-59
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",180.7352355789917,2082,15704827.246266507,2838415652.0813446,1000000,deploy_ping_pong_lb__main__2025-04-19-14-42-10
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",180.35302276299626,2078,15711757.252634706,2833662913.431099,1000000,deploy_ping_pong_lb__main__2025-04-19-14-45-21
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",181.17002755501017,2084,15594350.108526433,2825228838.8642097,1000000,deploy_ping_pong_lb__main__2025-04-19-14-48-31
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",180.84612484600802,2083,15696202.531164188,2838597402.559146,1000000,deploy_ping_pong_lb__main__2025-04-19-14-51-43
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",180.3282720420102,2082,15789159.512549082,2847231851.8936443,1000000,deploy_ping_pong_lb__main__2025-04-19-14-54-54
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",179.4496876530029,2076,15662974.04352895,2810715799.828362,1000000,deploy_ping_pong_lb__main__2025-04-19-14-58-04
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",178.9679307530023,2049,15825205.828809718,2832204340.9224257,1000000,deploy_ping_pong_lb__main__2025-04-19-15-01-14
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",177.58368727999914,2046,15793656.319305375,2804695724.815308,1000000,deploy_ping_pong_lb__main__2025-04-19-15-04-23
