Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",650.7466810839833,2530,45297451.634355396,29477166312.619026,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-20-07
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",659.9574935460114,2677,43967897.861221716,29016943668.97892,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-31-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",656.1177821369783,2663,43945528.56247525,28833442735.248493,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-42-22
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",657.6285095080093,2676,44062840.422056414,28976980071.446224,1000000,deploy_ping_pong_lb_prime____2025-04-20-21-53-30
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",657.9988036460127,2690,43717010.7516236,28765740773.548203,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-04-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",652.3646325020236,2657,44151553.52934781,28802911992.566406,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-15-50
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",652.9183109929727,2678,43867401.0867932,28641829425.24031,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-26-55
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.3163450580032,2660,44281153.14536637,28973882281.029827,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-38-00
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",650.1382619090145,2651,44451973.893613994,28899929045.61909,1000000,deploy_ping_pong_lb_prime____2025-04-20-22-49-07
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",652.8162258189986,2659,43976365.34390962,28708484849.04849,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-00-09
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.3030399399868,2676,43896384.89772733,28721538080.95872,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-11-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",654.7212756279914,2660,44082914.29839951,28862021882.84755,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-22-21
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",650.6427215510048,2653,44254571.24212037,28793914674.04603,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-33-28
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",653.8069483500149,2648,44362885.95073328,29004763083.448673,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-44-31
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 50 --no-load-balancer",657.5232000959804,2679,44120597.70765897,29010316594.887302,1000000,deploy_ping_pong_lb_prime____2025-04-20-23-55-37
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.1925115060003,2661,44057451.457852714,28733939916.850655,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-06-47
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.9082509870059,2667,43834105.52366363,28619649171.035076,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-17-51
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",651.852523012989,2656,43870696.22973544,28597224023.68947,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-28-56
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",654.4602678070078,2686,43756740.556285776,28637048142.82855,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-40-01
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",653.6554735180107,2661,43725325.14423663,28581298111.884975,1000000,deploy_ping_pong_lb_prime____2025-04-21-00-51-07
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",656.0975948999985,2687,43789787.15109937,28730374031.019154,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-02-13
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.3381455859926,2686,43345525.86145016,28405976537.49243,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-13-21
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.4790149180044,2664,44220553.581517786,28852983239.997555,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-24-29
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",653.7737468439736,2675,43917896.28496253,28712367607.724983,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-35-34
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",649.0849127790134,2640,44151461.74975009,28658047698.902485,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-46-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.0421471050067,2676,44118464.33811511,28899453607.01459,1000000,deploy_ping_pong_lb_prime____2025-04-21-01-57-41
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",653.3823080979928,2666,44140958.07931434,28840921071.51915,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-08-48
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.8575690969883,2670,43916817.12636062,28803176922.97186,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-19-54
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",655.3971824019973,2703,43817255.71152642,28717705933.92224,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-31-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 2 50 50000 100 --no-load-balancer",652.620144393004,2686,43786498.67165214,28575951085.557697,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-42-09
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",745.3357050999766,2981,44454621.124955624,33133616381.121117,1000000,deploy_ping_pong_lb_prime____2025-04-21-02-53-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.6132697529974,2973,44571968.83174855,33188879451.13698,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-05-52
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",741.3958741910174,2972,44956298.01243288,33330413865.319572,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-18-30
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.932979671983,2961,44607527.03790154,33140402978.066742,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-31-04
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.6155262879911,2963,44370999.63556631,33039335245.561466,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-43-39
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",738.4621859999897,2931,44955770.4978206,33198136555.13445,1000000,deploy_ping_pong_lb_prime____2025-04-21-03-56-16
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.6970613599988,2971,44715372.9072794,33299406801.667477,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-08-48
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.6579156630032,2959,44754621.69199112,33237374062.060356,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-21-25
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",739.5270170999866,2936,44762936.15173561,33103400648.930187,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-34-00
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.6441006810055,2964,44642157.35802658,33153234803.61158,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-46-32
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",739.6967449829972,2946,44937242.369558744,33239931909.27463,1000000,deploy_ping_pong_lb_prime____2025-04-21-04-59-08
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",743.667517488997,2964,44508237.29256289,33099330335.171436,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-11-40
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",742.164843733015,2949,44867572.385070994,33299134847.845955,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-24-16
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",744.409920532984,2981,44461543.25176523,33097613878.820385,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-36-51
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 50 --no-load-balancer",741.2052104049944,2956,44720140.18045756,33146800911.796894,1000000,deploy_ping_pong_lb_prime____2025-04-21-05-49-28
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.3703199859883,2955,44572816.4996523,33089536047.523617,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-02-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",745.657408108993,2991,44321818.31565322,33048892167.927673,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-14-37
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",740.8735870750097,2966,44628714.7246394,33064235964.590897,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-27-15
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.6331298439763,2950,44910840.44825006,33352278006.007393,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-39-49
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",745.3445398249896,2965,44909654.57425184,33473165822.34498,1000000,deploy_ping_pong_lb_prime____2025-04-21-06-52-24
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",739.9009508760064,2951,45071149.13658757,33348186103.235435,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-05-02
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.5623084130057,2952,44751246.91403835,33230589212.848717,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-17-35
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",744.4156073010236,2978,44405833.870992295,33056395788.783092,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-30-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",743.3494142460113,2936,44945759.60080601,33410404072.10119,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-42-47
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.7632987159886,2932,45047616.21379825,33459716018.25264,1000000,deploy_ping_pong_lb_prime____2025-04-21-07-55-23
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",743.7873355210177,2973,44941738.98377273,33427096292.421368,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-07-58
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.3642952530063,2948,44848346.03802494,33293810799.78134,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-20-35
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",745.6992232390039,2992,44164260.34914333,32933254637.28132,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-33-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",742.2902374250116,2978,44788094.73309828,33245765473.245434,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-45-48
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 4 50 50000 100 --no-load-balancer",741.1510316600034,2953,44569970.361987114,33033079514.84252,1000000,deploy_ping_pong_lb_prime____2025-04-21-08-58-23
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",982.5053242279973,3736,46136546.16723947,45329402250.80359,1000000,deploy_ping_pong_lb_prime____2025-04-21-09-10-57
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",973.846155124018,3708,46562935.90683698,45345136104.15927,1000000,deploy_ping_pong_lb_prime____2025-04-21-09-27-33
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",981.4979966459796,3738,46048977.48452306,45196979148.655205,1000000,deploy_ping_pong_lb_prime____2025-04-21-09-44-00
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.7256806330115,3714,46241016.18296307,45349752069.19856,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-00-36
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",979.8969544269785,3748,46221905.3151027,45292704246.0813,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-17-10
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",978.696313219989,3762,46333172.866531335,45346105464.258644,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-33-43
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",971.6583909429901,3677,46821520.51570346,45494523285.792625,1000000,deploy_ping_pong_lb_prime____2025-04-21-10-50-15
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.1647417230124,3724,46346447.74761211,45427153986.317314,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-06-41
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",975.5862446180254,3715,46512902.13646293,45377347521.597595,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-23-14
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",983.772247314977,3764,46159641.610624395,45410574362.53789,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-39-43
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",980.2866081179818,3746,46293713.702281676,45381107582.394646,1000000,deploy_ping_pong_lb_prime____2025-04-21-11-56-21
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",988.7797412250075,3758,45693648.19162632,45180953634.5428,1000000,deploy_ping_pong_lb_prime____2025-04-21-12-12-55
deploy_ping_pong_lb_prime,,"['ping-pong-worker','ping-pong-worker2','ping-pong-worker3','ping-pong-worker4','ping-pong-worker5','ping-pong-worker6','ping-pong-worker7','ping-pong-worker8'] 8 50 50000 50 --no-load-balancer",979.194118822983,3740,46437436.15818811,45471264379.31554,1000000,deploy_ping_pong_lb_prime____2025-04-21-12-29-37
