Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",55.521927866037004,635,15991741.993275546,887892345.4029197,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-27-02
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.50842793303309,646,15743456.790939603,858151079.9057517,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-28-08
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.14381924900226,641,15728821.071606888,851618445.1009814,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-29-13
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.67106316995341,643,15917492.832488377,870226256.1522527,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-30-17
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.685637779009994,641,16129583.25731517,882056547.5359216,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-31-22
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",53.45813099300722,633,16045266.146304874,857749939.46683,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-32-26
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",53.611385278985836,630,16077298.88074766,861926264.5411705,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-33-30
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",53.26847460801946,629,16109209.592807585,858113022.1497344,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-34-34
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",54.430751884006895,653,15703858.398526728,854772820.1117862,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-35-37
deploy_ping_pong_lb_prime,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 50 no-load-balancer",53.82125475403154,644,15672161.774753112,843495411.4253824,1000000,deploy_ping_pong_lb_prime__main__2025-04-21-21-36-41
