Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong,,--clients=100 --messages=100000,7.287811661999513,128,2571690.3590624994,18741994.9898274,1000000,ping_pong____2025-03-17-20-41-36
ping_pong,,--clients=100 --messages=100000,7.174193786000615,126,2347818.997698412,16843708.463942137,1000000,ping_pong____2025-03-17-20-41-55
ping_pong,,--clients=100 --messages=100000,7.124892944000749,120,2620512.585166668,18670871.627719153,1000000,ping_pong____2025-03-17-20-42-12
ping_pong,,--clients=100 --messages=100000,7.257163559001128,122,2284838.5603278694,16581447.138212014,1000000,ping_pong____2025-03-17-20-42-29
ping_pong,,--clients=100 --messages=100000,7.200726855999164,124,2773380.9559677434,19970358.731553566,1000000,ping_pong____2025-03-17-20-42-47
ping_pong,,--clients=100 --messages=100000,7.3036488220004685,125,2743994.1697599995,20041169.785543773,1000000,ping_pong____2025-03-17-20-43-04
ping_pong,,--clients=100 --messages=100000,7.2378539239998645,122,2476080.9864754095,17921512.4841025,1000000,ping_pong____2025-03-17-20-43-22
ping_pong,,--clients=100 --messages=100000,7.177421641999899,124,2260850.539919356,16227077.594544342,1000000,ping_pong____2025-03-17-20-43-39
ping_pong,,--clients=100 --messages=100000,7.235440169999492,126,2531205.5728571443,18314386.48037716,1000000,ping_pong____2025-03-17-20-43-56
ping_pong,,--clients=100 --messages=100000,7.103280426999845,126,2026277.922936508,14393220.309656797,1000000,ping_pong____2025-03-17-20-44-14
ping_pong,,--clients=200 --messages=100000,14.501139105999755,255,2402241.057764705,34835231.74478998,1000000,ping_pong____2025-03-17-20-44-31
ping_pong,,--clients=200 --messages=100000,14.281782703999852,250,2337707.2564399997,33386627.062039733,1000000,ping_pong____2025-03-17-20-44-56
ping_pong,,--clients=200 --messages=100000,14.57102291999945,256,2532450.138007814,36900389.00466763,1000000,ping_pong____2025-03-17-20-45-20
ping_pong,,--clients=200 --messages=100000,14.250752591999117,247,2477430.083927127,35305243.1900211,1000000,ping_pong____2025-03-17-20-45-45
ping_pong,,--clients=200 --messages=100000,14.290850973000488,248,2774114.4270564523,39644455.85911439,1000000,ping_pong____2025-03-17-20-46-09
ping_pong,,--clients=200 --messages=100000,14.25815789400076,241,2402559.2129460573,34256068.60787108,1000000,ping_pong____2025-03-17-20-46-33
ping_pong,,--clients=200 --messages=100000,14.436230663999595,242,2551215.4584297524,36829934.831453376,1000000,ping_pong____2025-03-17-20-46-58
ping_pong,,--clients=200 --messages=100000,14.529626436999024,244,2663510.0088114757,38699805.43923872,1000000,ping_pong____2025-03-17-20-47-22
ping_pong,,--clients=200 --messages=100000,14.22081826000067,244,2493624.772868851,35461384.70360338,1000000,ping_pong____2025-03-17-20-47-47
ping_pong,,--clients=200 --messages=100000,14.366641357000844,244,2569064.8199590165,36908832.89123914,1000000,ping_pong____2025-03-17-20-48-11
ping_pong,,--clients=100 --messages=200000,14.45495454200136,242,2780393.2843388426,40190458.53400383,1000000,ping_pong____2025-03-17-20-48-36
ping_pong,,--clients=100 --messages=200000,14.245353903999785,247,2288000.0261538466,32593370.10492231,1000000,ping_pong____2025-03-17-20-49-01
ping_pong,,--clients=100 --messages=200000,14.311246102999576,247,2368462.71813765,33895652.84504722,1000000,ping_pong____2025-03-17-20-49-25
ping_pong,,--clients=100 --messages=200000,14.154187489999458,243,2680531.024032921,37940738.68692221,1000000,ping_pong____2025-03-17-20-49-49
ping_pong,,--clients=100 --messages=200000,14.408450756000093,250,2468009.91356,35560199.304849304,1000000,ping_pong____2025-03-17-20-50-14
ping_pong,,--clients=100 --messages=200000,14.688372488000823,256,2707585.6231250004,39770026.17561582,1000000,ping_pong____2025-03-17-20-50-38
ping_pong,,--clients=100 --messages=200000,14.310230307000893,247,2549667.127732794,36486323.804045744,1000000,ping_pong____2025-03-17-20-51-03
ping_pong,,--clients=100 --messages=200000,14.406394480998642,248,2516299.3322177436,36250800.81220227,1000000,ping_pong____2025-03-17-20-51-27
ping_pong,,--clients=100 --messages=200000,14.586654171998816,249,2563588.9581526113,37394185.57172689,1000000,ping_pong____2025-03-17-20-51-52
ping_pong,,--clients=100 --messages=200000,14.172021115000462,250,2350709.573119999,33314305.705490347,1000000,ping_pong____2025-03-17-20-52-17
