Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong,,--clients=50 --messages=50000,1.8431249510031193,31,2068514.2432258064,3812530.2131948187,1000000,ping_pong____2025-03-24-20-20-09
ping_pong,,--clients=50 --messages=50000,1.826901223997993,32,1995242.478125,3645110.925459351,1000000,ping_pong____2025-03-24-20-20-21
ping_pong,,--clients=50 --messages=50000,1.835779991997697,32,2151749.5146875,3950138.706854067,1000000,ping_pong____2025-03-24-20-20-32
ping_pong,,--clients=50 --messages=50000,1.8399837410033797,30,1975414.8700000003,3634731.2425363054,1000000,ping_pong____2025-03-24-20-20-44
ping_pong,,--clients=50 --messages=50000,1.7814746380026918,32,2095784.8334375005,3733587.527479603,1000000,ping_pong____2025-03-24-20-20-56
ping_pong,,--clients=50 --messages=50000,1.7819035790016642,30,2501634.273666666,4457671.065599861,1000000,ping_pong____2025-03-24-20-21-08
ping_pong,,--clients=50 --messages=50000,1.7699090389942285,29,2526538.1058620694,4471742.630928634,1000000,ping_pong____2025-03-24-20-21-20
ping_pong,,--clients=50 --messages=50000,1.786073031995329,32,1711497.0324999997,3056858.694088283,1000000,ping_pong____2025-03-24-20-21-32
ping_pong,,--clients=50 --messages=50000,1.8264149499955238,31,2613816.252258064,4773913.0796654,1000000,ping_pong____2025-03-24-20-21-43
ping_pong,,--clients=50 --messages=50000,1.7839209160010796,30,1411065.2806666668,2517228.8680242007,1000000,ping_pong____2025-03-24-20-21-55
ping_pong,,--clients=50 --messages=50000,1.7454217299964512,29,2585854.275172414,4513406.242490154,1000000,ping_pong____2025-03-24-20-22-07
ping_pong,,--clients=50 --messages=50000,1.770772294003109,30,2046314.337666667,3623556.7339614565,1000000,ping_pong____2025-03-24-20-22-19
ping_pong,,--clients=50 --messages=50000,1.833926462000818,32,2047327.8962499998,3754648.80532534,1000000,ping_pong____2025-03-24-20-22-31
ping_pong,,--clients=50 --messages=50000,1.821379691005859,30,1805701.3350000002,3288867.739591168,1000000,ping_pong____2025-03-24-20-22-43
ping_pong,,--clients=50 --messages=50000,1.8050741179977194,30,2053365.700333333,3706477.280455961,1000000,ping_pong____2025-03-24-20-22-54
ping_pong,,--clients=50 --messages=100000,3.58717773600074,62,2313066.5545161283,8297380.846248197,1000000,ping_pong____2025-03-24-20-23-06
ping_pong,,--clients=50 --messages=100000,3.5538661030004732,62,1688924.8069354838,6002212.621884635,1000000,ping_pong____2025-03-24-20-23-20
ping_pong,,--clients=50 --messages=100000,3.543646327998431,59,2228950.8891525418,7898613.633634242,1000000,ping_pong____2025-03-24-20-23-34
ping_pong,,--clients=50 --messages=100000,3.6381764159959857,62,2338768.6706451615,8508853.020011509,1000000,ping_pong____2025-03-24-20-23-47
ping_pong,,--clients=50 --messages=100000,3.519836903993564,61,2438500.0585245905,8583122.49638532,1000000,ping_pong____2025-03-24-20-24-01
ping_pong,,--clients=50 --messages=100000,3.6162844299979042,60,2219201.9398333333,8025265.422040429,1000000,ping_pong____2025-03-24-20-24-14
ping_pong,,--clients=50 --messages=100000,3.6640312310046284,65,2142157.090769231,7848930.482296478,1000000,ping_pong____2025-03-24-20-24-28
ping_pong,,--clients=50 --messages=100000,3.59446185699926,59,2255211.8432203387,8106272.949908502,1000000,ping_pong____2025-03-24-20-24-42
ping_pong,,--clients=50 --messages=100000,3.533411785007047,55,1945591.616727272,6874576.347355057,1000000,ping_pong____2025-03-24-20-24-55
ping_pong,,--clients=50 --messages=100000,3.5336687649978558,60,2232757.8289999994,7889826.600141722,1000000,ping_pong____2025-03-24-20-25-09
