Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong,main,100 100000,16.093655991999185,214,9894131.467724297,159232748.18116882,1000000,ping_pong__main__2025-03-17-20-06-40
ping_pong,main,100 100000,11.60176093500013,150,9849605.936633337,114272773.38077801,1000000,ping_pong__main__2025-03-17-20-07-06
ping_pong,main,100 100000,13.213195648000692,176,10180396.113977274,134515565.62812766,1000000,ping_pong__main__2025-03-17-20-07-28
ping_pong,main,100 100000,14.081263074000162,194,10613374.280360823,149449715.34458792,1000000,ping_pong__main__2025-03-17-20-07-52
ping_pong,main,100 100000,14.36854943399885,200,10086054.677250002,144921975.22408196,1000000,ping_pong__main__2025-03-17-20-08-16
ping_pong,main,100 100000,16.69317269699968,235,9930138.741191493,165765520.91187662,1000000,ping_pong__main__2025-03-17-20-08-41
ping_pong,main,100 100000,16.93930027499846,228,10129714.784,171590280.42626715,1000000,ping_pong__main__2025-03-17-20-09-08
ping_pong,main,100 100000,14.009793074001209,182,11609443.783983516,162645905.11785865,1000000,ping_pong__main__2025-03-17-20-09-35
ping_pong,main,100 100000,16.50072734799869,215,9599297.155827906,158395385.10073557,1000000,ping_pong__main__2025-03-17-20-09-59
ping_pong,main,100 100000,13.29391546000079,172,9715637.225575585,129158859.91683845,1000000,ping_pong__main__2025-03-17-20-10-26
ping_pong,main,200 100000,34.60371754100015,461,10020683.439718002,346752899.31577957,1000000,ping_pong__main__2025-03-17-20-10-49
ping_pong,main,200 100000,28.568550427000446,382,10240775.17401309,292564101.9703672,1000000,ping_pong__main__2025-03-17-20-11-34
ping_pong,main,200 100000,32.801641261999976,440,10068481.429606821,330262715.9070716,1000000,ping_pong__main__2025-03-17-20-12-13
ping_pong,main,200 100000,34.59591730700049,466,10079997.73037554,348726767.9348248,1000000,ping_pong__main__2025-03-17-20-12-56
ping_pong,main,200 100000,32.38024521100124,428,10191216.921983643,329994102.9323356,1000000,ping_pong__main__2025-03-17-20-13-41
ping_pong,main,200 100000,32.37669597999957,425,10419870.423451765,337360976.85108715,1000000,ping_pong__main__2025-03-17-20-14-23
ping_pong,main,200 100000,36.71523722100028,497,10535164.2552334,386801054.793097,1000000,ping_pong__main__2025-03-17-20-15-06
ping_pong,main,200 100000,35.0300223560007,468,10148384.655066237,355498141.34426475,1000000,ping_pong__main__2025-03-17-20-15-53
ping_pong,main,200 100000,35.91209452399926,472,9701141.759548726,348388319.8596303,1000000,ping_pong__main__2025-03-17-20-16-38
ping_pong,main,200 100000,40.28491111999938,514,10457394.11899611,421275192.6305625,1000000,ping_pong__main__2025-03-17-20-17-24
ping_pong,main,100 200000,31.875065721000283,417,10113996.034625899,322384288.30563676,1000000,ping_pong__main__2025-03-17-20-18-15
ping_pong,main,100 200000,29.36036635399978,396,9546659.138871213,280293409.7740189,1000000,ping_pong__main__2025-03-17-20-18-57
ping_pong,main,100 200000,31.730103775000316,408,10232521.507970588,324678969.3278295,1000000,ping_pong__main__2025-03-17-20-19-36
ping_pong,main,100 200000,28.447105172999727,362,11212220.297867402,318955210.03627634,1000000,ping_pong__main__2025-03-17-20-20-18
ping_pong,main,100 200000,33.17969276900112,433,9814385.793323323,325638305.3389172,1000000,ping_pong__main__2025-03-17-20-20-57
ping_pong,main,100 200000,27.688953048000258,362,10437786.969386742,289011393.32037836,1000000,ping_pong__main__2025-03-17-20-21-41
ping_pong,main,100 200000,30.54861306699968,405,10400556.626817286,317722580.0740606,1000000,ping_pong__main__2025-03-17-20-22-18
ping_pong,main,100 200000,37.014495589000944,489,10455091.584662573,386989941.3430937,1000000,ping_pong__main__2025-03-17-20-22-59
ping_pong,main,100 200000,31.02666629000123,402,10341891.478097016,320874415.69832367,1000000,ping_pong__main__2025-03-17-20-23-46
ping_pong,main,100 200000,34.96208568300062,450,10108630.85841556,353418818.209749,1000000,ping_pong__main__2025-03-17-20-24-28
