Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.893255408000186,116,4004375.54913793,27603183.40975875,1000000,ping_pong_lb____2025-03-17-21-46-42
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.617350594000527,105,3428396.708952382,22686902.9984555,1000000,ping_pong_lb____2025-03-17-21-46-59
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.688234495999495,107,3991903.5056074774,26698786.730905246,1000000,ping_pong_lb____2025-03-17-21-47-16
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.717706251998607,106,3314960.6471698117,22268931.86462199,1000000,ping_pong_lb____2025-03-17-21-47-32
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.917681887000072,111,3435359.118918918,23764721.552285925,1000000,ping_pong_lb____2025-03-17-21-47-49
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.793701496000722,110,3649195.8447272736,24791547.269523297,1000000,ping_pong_lb____2025-03-17-21-48-06
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.886852499999804,112,3741568.505089286,25767630.41319468,1000000,ping_pong_lb____2025-03-17-21-48-23
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.769471868999972,105,3667116.6466666665,24824442.97995151,1000000,ping_pong_lb____2025-03-17-21-48-40
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.850438486999337,110,3856965.8620000007,26421907.38408738,1000000,ping_pong_lb____2025-03-17-21-48-57
ping_pong_lb,,--workers=10 --clients=100 --messages=100000,6.683639672999561,108,3946643.5018518507,26377943.084162947,1000000,ping_pong_lb____2025-03-17-21-49-13
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.090740839999853,215,3648092.9065116295,47756238.799385555,1000000,ping_pong_lb____2025-03-17-21-49-30
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.176323837000382,212,3903803.258490566,51437775.92980901,1000000,ping_pong_lb____2025-03-17-21-49-53
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,12.897771599999032,200,4016933.720549997,51809493.6599882,1000000,ping_pong_lb____2025-03-17-21-50-17
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.144401115001529,210,3738967.381904763,49146487.02366331,1000000,ping_pong_lb____2025-03-17-21-50-40
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.551748728999883,219,4082691.93849315,55327615.28837261,1000000,ping_pong_lb____2025-03-17-21-51-03
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.652382588001274,219,4150636.156073059,56666072.78630037,1000000,ping_pong_lb____2025-03-17-21-51-26
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.29324788699887,216,3852580.603425929,51213308.96598456,1000000,ping_pong_lb____2025-03-17-21-51-50
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.056883114000811,214,3840665.8379906546,50147124.92657995,1000000,ping_pong_lb____2025-03-17-21-52-13
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.34342418199958,215,4049215.983209306,54030406.46849426,1000000,ping_pong_lb____2025-03-17-21-52-36
ping_pong_lb,,--workers=10 --clients=200 --messages=100000,13.027785532998678,212,3825655.0188679253,49839813.10905134,1000000,ping_pong_lb____2025-03-17-21-53-00
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.041709269000421,211,3723164.6867298605,48556431.40493987,1000000,ping_pong_lb____2025-03-17-21-53-23
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.285033419999309,212,4200205.657264155,55799872.527624466,1000000,ping_pong_lb____2025-03-17-21-53-46
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.297723927000334,224,3811022.0683035715,50677919.3440067,1000000,ping_pong_lb____2025-03-17-21-54-09
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.613831853999727,229,3707404.1808733656,50471977.13322559,1000000,ping_pong_lb____2025-03-17-21-54-33
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.3645186069989,213,4252323.250469485,56830253.20387348,1000000,ping_pong_lb____2025-03-17-21-54-56
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.095872275000147,211,4225889.83720379,55341713.556242004,1000000,ping_pong_lb____2025-03-17-21-55-20
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.166664015001516,213,4171117.264319242,54919699.58646373,1000000,ping_pong_lb____2025-03-17-21-55-43
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.740976164999665,222,3942966.196486486,54180204.525320195,1000000,ping_pong_lb____2025-03-17-21-56-06
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.589063679000901,220,4032339.497363634,54795718.205024906,1000000,ping_pong_lb____2025-03-17-21-56-30
ping_pong_lb,,--workers=10 --clients=100 --messages=200000,13.470677933999468,220,3925669.2067272738,52881425.559242286,1000000,ping_pong_lb____2025-03-17-21-56-53
