Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,31.950300658999822,513,990833.8227680312,31657438.540544737,1000000,ping_pong_lb____2025-04-09-18-54-52
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,41.223444970999935,609,998354.0455500827,41155593.058308996,1000000,ping_pong_lb____2025-04-09-18-55-36
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,40.555415656999685,609,1000050.2506239737,40557453.59194196,1000000,ping_pong_lb____2025-04-09-18-56-28
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,36.65297534000001,535,1069313.9354205607,39193537.30568817,1000000,ping_pong_lb____2025-04-09-18-57-18
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,41.20507012400003,590,1046032.1909152544,43101829.778624445,1000000,ping_pong_lb____2025-04-09-18-58-05
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,39.60835060799991,596,1010276.0920134229,40015369.66334763,1000000,ping_pong_lb____2025-04-09-18-58-56
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,39.5689757250002,595,1000027.389630252,39570059.50461476,1000000,ping_pong_lb____2025-04-09-18-59-46
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,38.16610272800017,572,1020030.29520979,38930581.03264918,1000000,ping_pong_lb____2025-04-09-19-00-35
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,43.149376509000376,619,1029574.7429886904,44425508.22937629,1000000,ping_pong_lb____2025-04-09-19-01-24
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,39.47573842099973,584,1047571.2289212313,41353647.81025976,1000000,ping_pong_lb____2025-04-09-19-02-17
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,40.12079536900001,596,1037884.9096812084,41640768.07789282,1000000,ping_pong_lb____2025-04-09-19-03-06
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,40.0836635200003,595,1008818.8242184869,40437154.30261616,1000000,ping_pong_lb____2025-04-09-19-03-56
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,36.2559043629999,521,1092768.8659692912,39619323.49544647,1000000,ping_pong_lb____2025-04-09-19-04-47
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,41.46742740100035,609,1017435.7266502457,42190442.1300531,1000000,ping_pong_lb____2025-04-09-19-05-33
ping_pong_lb,,--servers=2 --clients=200 --messages=50000,41.29040420599995,616,991422.1367370139,40936220.764647454,1000000,ping_pong_lb____2025-04-09-19-06-24
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,73.3860102980002,1090,1049574.9409724777,77024117.4267292,1000000,ping_pong_lb____2025-04-09-19-07-16
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.00728867199996,1172,1030799.8750682595,81440703.29257947,1000000,ping_pong_lb____2025-04-09-19-08-39
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,76.65492798900004,1133,1036334.8534510141,79440173.5637784,1000000,ping_pong_lb____2025-04-09-19-10-08
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,78.54286424500015,1142,1056936.581401051,83014826.42855729,1000000,ping_pong_lb____2025-04-09-19-11-35
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,80.01837834800017,1189,1025642.8956854518,82070281.27689695,1000000,ping_pong_lb____2025-04-09-19-13-04
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.56569387200034,1145,1073501.7925414853,85413914.99639943,1000000,ping_pong_lb____2025-04-09-19-14-34
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,81.13228833500034,1189,1033515.8569133737,83851506.5018908,1000000,ping_pong_lb____2025-04-09-19-16-03
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,74.43235883999978,1095,1067980.868420092,79492335.23249887,1000000,ping_pong_lb____2025-04-09-19-17-34
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.15571256400017,1170,1035794.9784529918,81989089.58965977,1000000,ping_pong_lb____2025-04-09-19-18-59
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,80.79609950400027,1178,1047199.110466894,84609603.52978374,1000000,ping_pong_lb____2025-04-09-19-20-28
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,80.87043868199999,1211,1007293.2964987629,81460250.76929283,1000000,ping_pong_lb____2025-04-09-19-21-59
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,76.25578019099976,1109,1067164.5307754737,81377463.88644592,1000000,ping_pong_lb____2025-04-09-19-23-30
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.49258892599937,1190,1029222.6200000014,81815570.64500017,1000000,ping_pong_lb____2025-04-09-19-24-56
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.48698638800033,1154,1036039.160485269,82351630.64692788,1000000,ping_pong_lb____2025-04-09-19-26-26
ping_pong_lb,,--servers=2 --clients=200 --messages=100000,79.0725380670001,1181,1014574.5763251476,80224986.80828074,1000000,ping_pong_lb____2025-04-09-19-27-55
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,160.21531186299944,2357,1046756.1519134485,167706363.32332638,1000000,ping_pong_lb____2025-04-09-19-29-24
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,157.77389529799984,2329,1048743.845946759,165464401.74482563,1000000,ping_pong_lb____2025-04-09-19-32-15
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,163.71443487299985,2390,1037030.4548995836,169776854.86997527,1000000,ping_pong_lb____2025-04-09-19-35-03
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,160.43793529400045,2355,1039197.478216561,166726697.76779705,1000000,ping_pong_lb____2025-04-09-19-37-56
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,159.509213499,2335,1031516.9736702354,164536461.18100792,1000000,ping_pong_lb____2025-04-09-19-40-47
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,160.64354603999982,2372,1032202.8061846555,165816719.0179417,1000000,ping_pong_lb____2025-04-09-19-43-36
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,158.79030533900004,2335,1044920.5058029972,165923246.17144027,1000000,ping_pong_lb____2025-04-09-19-46-27
ping_pong_lb,,--servers=2 --clients=200 --messages=200000,164.1728218649996,2404,1028242.8491846918,168809530.11315805,1000000,ping_pong_lb____2025-04-09-19-49-16
