Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb,main,10 100 100000,16.919034713000656,234,11608330.493645297,196401746.5819688,1000000,ping_pong_lb__main__2025-03-17-20-57-55
ping_pong_lb,main,10 100 100000,16.234860651000417,220,11737887.842636358,190562973.46227318,1000000,ping_pong_lb__main__2025-03-17-20-58-22
ping_pong_lb,main,10 100 100000,17.306026412999927,232,11627744.877474137,201230059.973192,1000000,ping_pong_lb__main__2025-03-17-20-58-49
ping_pong_lb,main,10 100 100000,13.902610511999228,187,10743507.750160428,149362803.78312555,1000000,ping_pong_lb__main__2025-03-17-20-59-16
ping_pong_lb,main,10 100 100000,15.953903149000325,223,11553372.618017934,184321387.79217046,1000000,ping_pong_lb__main__2025-03-17-20-59-40
ping_pong_lb,main,10 100 100000,17.225395501000094,234,12012094.115982907,206913071.94304165,1000000,ping_pong_lb__main__2025-03-17-21-00-06
ping_pong_lb,main,10 100 100000,15.947738824001135,214,12054346.89727103,192239576.01158682,1000000,ping_pong_lb__main__2025-03-17-21-00-33
ping_pong_lb,main,10 100 100000,15.69859463099965,213,12237193.68353521,192106743.0588487,1000000,ping_pong_lb__main__2025-03-17-21-00-59
ping_pong_lb,main,10 100 100000,18.152315246999933,246,11923302.611500002,216435547.78932562,1000000,ping_pong_lb__main__2025-03-17-21-01-25
ping_pong_lb,main,10 100 100000,17.006062941998607,234,10567644.340790596,179714024.80814025,1000000,ping_pong_lb__main__2025-03-17-21-01-53
ping_pong_lb,main,10 200 100000,34.33617352100009,470,12220025.716734042,419588923.4408636,1000000,ping_pong_lb__main__2025-03-17-21-02-20
ping_pong_lb,main,10 200 100000,39.008447248001175,528,12034444.56055682,469444995.7994754,1000000,ping_pong_lb__main__2025-03-17-21-03-05
ping_pong_lb,main,10 200 100000,33.93396945600034,455,12886228.984630771,437280900.7674869,1000000,ping_pong_lb__main__2025-03-17-21-03-54
ping_pong_lb,main,10 200 100000,40.41094155599967,558,11875949.704849463,479918309.44466317,1000000,ping_pong_lb__main__2025-03-17-21-27-33
ping_pong_lb,main,10 200 100000,33.83944343999974,469,11634239.652191898,393696194.67775,1000000,ping_pong_lb__main__2025-03-17-21-35-30
ping_pong_lb,main,10 200 100000,39.75518170199939,529,12656951.179767484,503179393.9449919,1000000,ping_pong_lb__main__2025-03-17-21-06-08
ping_pong_lb,main,10 200 100000,39.67236533600044,532,12900974.681640977,511812180.7605528,1000000,ping_pong_lb__main__2025-03-17-21-06-58
ping_pong_lb,main,10 200 100000,33.66024534999997,455,12591290.258681318,423825919.38027775,1000000,ping_pong_lb__main__2025-03-17-21-07-48
ping_pong_lb,main,10 200 100000,38.175568434000525,508,13000866.88223228,496315483.3639895,1000000,ping_pong_lb__main__2025-03-17-21-08-32
ping_pong_lb,main,10 200 100000,35.33555781799987,478,12536276.011470713,442976305.8257282,1000000,ping_pong_lb__main__2025-03-17-21-09-20
ping_pong_lb,main,10 100 200000,35.60411688299973,479,12706386.07609395,452399655.0137693,1000000,ping_pong_lb__main__2025-03-17-21-10-05
ping_pong_lb,main,10 100 200000,35.99543089399958,481,12994193.275010398,467731586.0539109,1000000,ping_pong_lb__main__2025-03-17-21-10-51
ping_pong_lb,main,10 100 200000,37.07011869300004,499,12415074.43636473,460228282.93847114,1000000,ping_pong_lb__main__2025-03-17-21-11-37
ping_pong_lb,main,10 100 200000,34.06136667800092,461,12603176.982188718,429281432.498071,1000000,ping_pong_lb__main__2025-03-17-21-12-24
ping_pong_lb,main,10 100 200000,35.8481958170014,483,11998585.032743271,430127625.7807229,1000000,ping_pong_lb__main__2025-03-17-21-13-08
ping_pong_lb,main,10 100 200000,36.902791858001365,500,12042745.399209999,444410926.8659501,1000000,ping_pong_lb__main__2025-03-17-21-13-54
ping_pong_lb,main,10 100 200000,37.402406639999754,496,12261567.447395163,458612131.71125764,1000000,ping_pong_lb__main__2025-03-17-21-14-41
ping_pong_lb,main,10 100 200000,33.2288848219996,442,12670620.84272172,421030600.60602754,1000000,ping_pong_lb__main__2025-03-17-21-15-29
ping_pong_lb,main,10 100 200000,37.68973947900122,501,12708699.185137725,478987561.40483594,1000000,ping_pong_lb__main__2025-03-17-21-16-12
ping_pong_lb,main,10 100 200000,35.30847557299967,481,12104821.119066529,427402780.79809105,1000000,ping_pong_lb__main__2025-03-17-21-17-00
