Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb,main,2 200 50000,7.201789575000021,103,7835224.313592233,56427636.779415235,1000000,ping_pong_lb__main__2025-04-08-23-35-26
ping_pong_lb,main,2 200 50000,6.921057299000012,96,8752303.953125,60575197.157842435,1000000,ping_pong_lb__main__2025-04-08-23-35-44
ping_pong_lb,main,2 200 50000,7.115975593999991,96,9628242.563541668,68514339.09527442,1000000,ping_pong_lb__main__2025-04-08-23-36-01
ping_pong_lb,main,2 200 50000,8.272953389000008,110,11092845.138181819,91770590.77957354,1000000,ping_pong_lb__main__2025-04-08-23-36-18
ping_pong_lb,main,2 200 50000,9.65708607099998,117,10953791.631623933,105781708.59039164,1000000,ping_pong_lb__main__2025-04-08-23-36-36
ping_pong_lb,main,2 200 50000,7.538742683999999,100,10238527.544000002,77185624.61726248,1000000,ping_pong_lb__main__2025-04-08-23-36-56
ping_pong_lb,main,2 200 50000,6.871861623000029,95,9836832.944210527,67597354.80118272,1000000,ping_pong_lb__main__2025-04-08-23-37-14
ping_pong_lb,main,2 200 50000,7.16878856400001,99,8139158.604040404,58347907.12122714,1000000,ping_pong_lb__main__2025-04-08-23-37-31
ping_pong_lb,main,2 200 50000,6.885491758000001,94,8805790.272340424,60632196.342876576,1000000,ping_pong_lb__main__2025-04-08-23-37-48
ping_pong_lb,main,2 200 50000,7.173201496000047,101,7523142.300990099,53965015.60808341,1000000,ping_pong_lb__main__2025-04-08-23-38-05
ping_pong_lb,main,2 200 50000,7.0552347970000255,97,9358809.52371134,66028598.610183485,1000000,ping_pong_lb__main__2025-04-08-23-38-22
ping_pong_lb,main,2 200 50000,7.412269070999969,101,9859409.232673267,73080594.1136756,1000000,ping_pong_lb__main__2025-04-08-23-38-39
ping_pong_lb,main,2 200 50000,7.080816445999972,98,8298011.007142858,58756692.808465935,1000000,ping_pong_lb__main__2025-04-08-23-38-56
ping_pong_lb,main,2 200 50000,6.810845154000049,98,8498396.107142856,57881259.9431068,1000000,ping_pong_lb__main__2025-04-08-23-39-14
ping_pong_lb,main,2 200 50000,8.076255815000025,105,10708357.236190477,86483432.39788094,1000000,ping_pong_lb__main__2025-04-08-23-39-30
ping_pong_lb,main,2 200 100000,13.288025291999986,184,9507766.451086957,126339441.07247244,1000000,ping_pong_lb__main__2025-04-08-23-39-49
ping_pong_lb,main,2 200 100000,14.29094513299998,198,10149007.371212121,145038907.49640477,1000000,ping_pong_lb__main__2025-04-08-23-40-12
ping_pong_lb,main,2 200 100000,14.475916493,200,9942363.549,143924824.4783711,1000000,ping_pong_lb__main__2025-04-08-23-40-36
ping_pong_lb,main,2 200 100000,13.383381352000015,190,9008118.365789473,120559083.35331568,1000000,ping_pong_lb__main__2025-04-08-23-41-01
ping_pong_lb,main,2 200 100000,18.193206503000056,236,10131023.229661016,184315797.70391342,1000000,ping_pong_lb__main__2025-04-08-23-41-24
ping_pong_lb,main,2 200 100000,16.212478824000073,219,10582702.919634702,171571846.98526135,1000000,ping_pong_lb__main__2025-04-08-23-41-53
ping_pong_lb,main,2 200 100000,14.803766031999999,202,10380741.772772277,153674072.44272968,1000000,ping_pong_lb__main__2025-04-08-23-42-19
ping_pong_lb,main,2 200 100000,14.02606980500002,200,9322239.9125,130754387.75168228,1000000,ping_pong_lb__main__2025-04-08-23-42-44
ping_pong_lb,main,2 200 100000,14.096981398000025,199,9877608.868341709,139244468.47373316,1000000,ping_pong_lb__main__2025-04-08-23-43-08
ping_pong_lb,main,2 200 100000,15.552030055999921,212,9616161.660849057,149550835.17287865,1000000,ping_pong_lb__main__2025-04-08-23-43-32
ping_pong_lb,main,2 200 100000,14.318156832,209,7164178.964114833,102577837.98071148,1000000,ping_pong_lb__main__2025-04-08-23-43-57
ping_pong_lb,main,2 200 100000,14.085362256999929,197,9883614.519796954,139214290.9198845,1000000,ping_pong_lb__main__2025-04-08-23-44-22
ping_pong_lb,main,2 200 100000,13.894190213000002,195,9409902.945641026,130742981.41260543,1000000,ping_pong_lb__main__2025-04-08-23-44-46
ping_pong_lb,main,2 200 100000,13.871128215999988,197,9336966.934010152,129514265.49020712,1000000,ping_pong_lb__main__2025-04-08-23-45-10
ping_pong_lb,main,2 200 100000,13.968138382999996,208,6700595.826923077,93594849.75901383,1000000,ping_pong_lb__main__2025-04-08-23-45-34
