Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
prime_calculation,,4000000,1.0816027030014084,19,389088.50157894735,420839.1750145572,1000000,prime_calculation____2025-03-24-16-36-46
prime_calculation,,4000000,1.0638782419991912,17,407484.894117647,433514.3127951089,1000000,prime_calculation____2025-03-24-16-36-58
prime_calculation,,4000000,1.0786082439990423,18,393567.81111111114,424505.48563710233,1000000,prime_calculation____2025-03-24-16-37-09
prime_calculation,,4000000,1.0747019209993596,19,388025.2421052632,417011.47308676795,1000000,prime_calculation____2025-03-24-16-37-20
prime_calculation,,4000000,1.0555569329990249,18,377865.10166666657,398858.1278026313,1000000,prime_calculation____2025-03-24-16-37-31
prime_calculation,,4000000,1.0725757830005023,18,402394.7700000001,431598.8855080571,1000000,prime_calculation____2025-03-24-16-37-42
prime_calculation,,4000000,1.0686069360017427,18,356831.27444444434,381312.3748536746,1000000,prime_calculation____2025-03-24-16-37-53
prime_calculation,,4000000,1.0397801689978223,18,395238.66722222226,410961.3281987963,1000000,prime_calculation____2025-03-24-16-38-04
prime_calculation,,4000000,1.0628364799995325,18,383109.20722222223,407182.44125947816,1000000,prime_calculation____2025-03-24-16-38-15
prime_calculation,,4000000,1.061408945999574,18,375440.76888888894,398496.19079162524,1000000,prime_calculation____2025-03-24-16-38-26
prime_calculation,,4000000,1.051088313000946,17,402320.4882352942,422874.3632649523,1000000,prime_calculation____2025-03-24-16-38-37
prime_calculation,,4000000,1.0982801680002012,19,389785.1826315788,428093.3358645995,1000000,prime_calculation____2025-03-24-16-38-48
prime_calculation,,4000000,1.0875014920020476,18,346406.0211111111,376717.0647968261,1000000,prime_calculation____2025-03-24-16-39-00
prime_calculation,,4000000,1.0676953370020783,18,370848.9377777778,395953.6815975072,1000000,prime_calculation____2025-03-24-16-39-11
prime_calculation,,4000000,1.0617309199988085,17,394604.6341176471,418963.94121752266,1000000,prime_calculation____2025-03-24-16-39-22
prime_calculation,,8000000,2.7769023289984034,48,377631.7587500001,1048646.5103766385,1000000,prime_calculation____2025-03-24-16-39-33
prime_calculation,,8000000,2.760957475999021,50,360937.903,996534.2016592594,1000000,prime_calculation____2025-03-24-16-39-46
prime_calculation,,8000000,2.772017354000127,50,354213.018,981884.6329087593,1000000,prime_calculation____2025-03-24-16-39-59
prime_calculation,,8000000,2.8148060719977366,50,396866.19639999984,1117101.3793973657,1000000,prime_calculation____2025-03-24-16-40-11
prime_calculation,,8000000,2.7908634300001722,50,353137.5902,985558.7862475672,1000000,prime_calculation____2025-03-24-16-40-24
prime_calculation,,8000000,2.7543340330012143,49,359067.8418367347,988992.7769272155,1000000,prime_calculation____2025-03-24-16-40-37
prime_calculation,,8000000,2.768860838001274,51,359868.3298039216,996425.3252310051,1000000,prime_calculation____2025-03-24-16-40-50
prime_calculation,,8000000,2.798712666000938,50,357291.17139999993,999955.3268474919,1000000,prime_calculation____2025-03-24-16-41-03
prime_calculation,,8000000,2.838190045000374,50,376850.80780000024,1069574.21114831,1000000,prime_calculation____2025-03-24-16-41-15
prime_calculation,,8000000,2.7719435389990394,49,352131.10693877545,976087.5467595184,1000000,prime_calculation____2025-03-24-16-41-28
prime_calculation,,8000000,2.7939044869999634,51,367308.34627450973,1026224.4367688891,1000000,prime_calculation____2025-03-24-16-41-41
prime_calculation,,8000000,2.7843578909996722,50,361294.7736000001,1005973.9538501003,1000000,prime_calculation____2025-03-24-16-41-54
prime_calculation,,8000000,2.79028209900207,50,382185.84239999996,1066406.3145407462,1000000,prime_calculation____2025-03-24-16-42-07
prime_calculation,,8000000,2.7571051089980756,50,377556.739,1040963.6140335529,1000000,prime_calculation____2025-03-24-16-42-20
prime_calculation,,8000000,2.8588220150013512,51,344841.785490196,985841.288051746,1000000,prime_calculation____2025-03-24-16-42-32
prime_calculation,,12000000,4.863513690997934,88,360683.8837500001,1754191.0067404327,1000000,prime_calculation____2025-03-24-16-42-45
prime_calculation,,12000000,4.851029532001121,87,366281.01413793117,1776840.0165944241,1000000,prime_calculation____2025-03-24-16-43-00
prime_calculation,,12000000,4.893096241001331,87,362381.72275862074,1773168.6454377936,1000000,prime_calculation____2025-03-24-16-43-15
prime_calculation,,12000000,4.949917510002706,88,360695.9607954547,1785415.2521286707,1000000,prime_calculation____2025-03-24-16-43-30
prime_calculation,,12000000,4.870455408999987,88,366533.8578409091,1785186.8105028882,1000000,prime_calculation____2025-03-24-16-43-45
prime_calculation,,12000000,4.938915546998032,88,365236.56659090903,1803872.5570680227,1000000,prime_calculation____2025-03-24-16-44-00
prime_calculation,,12000000,4.922098513001401,87,365438.9272413794,1798726.4003676209,1000000,prime_calculation____2025-03-24-16-44-15
prime_calculation,,12000000,4.936284498999157,90,368450.2763333333,1818775.387716189,1000000,prime_calculation____2025-03-24-16-44-30
prime_calculation,,12000000,4.967006832997868,89,366571.3019101123,1820762.1613684522,1000000,prime_calculation____2025-03-24-16-44-45
prime_calculation,,12000000,4.91498542699992,88,363661.1313636364,1787389.1610185762,1000000,prime_calculation____2025-03-24-16-45-00
prime_calculation,,12000000,4.956629367999994,88,365637.08079545456,1812327.4927005367,1000000,prime_calculation____2025-03-24-16-45-15
prime_calculation,,12000000,4.919025799001247,88,369787.5507954546,1818994.5025123253,1000000,prime_calculation____2025-03-24-16-45-30
prime_calculation,,12000000,4.870827648999693,88,369034.48011363647,1797503.349171728,1000000,prime_calculation____2025-03-24-16-45-45
prime_calculation,,12000000,4.931130372999178,89,370844.91786516854,1828684.6381573179,1000000,prime_calculation____2025-03-24-16-46-00
prime_calculation,,12000000,4.891283365999698,88,363801.3759090909,1779455.6185119397,1000000,prime_calculation____2025-03-24-16-46-14
