Module,Function,Parameter,Runtime (s),Samples,Sample frequency (ns),Consumption (μJ)
prime_calculation,main,4000000,19.223893828000655,310,100000,11399917.357926404
prime_calculation,main,4000000,19.19907975100068,308,100000,11379326.797314867
prime_calculation,main,4000000,19.081912612999076,308,100000,11422434.738236878
prime_calculation,main,4000000,19.588571877000504,311,100000,12768641.849245016
prime_calculation,main,4000000,18.977098614999704,299,100000,12147654.62004864
prime_calculation,main,4000000,18.975640790999023,299,100000,11594042.153385146
prime_calculation,main,4000000,19.28655566999987,300,100000,11430914.08190001
prime_calculation,main,4000000,19.114624410000033,303,100000,11606114.942702072
prime_calculation,main,4000000,19.07517752700005,305,100000,11660863.117392337
prime_calculation,main,4000000,19.1926598379996,307,10000,11712147.203879906
prime_calculation,main,4000000,19.113596861998303,302,10000,11634455.381263774
prime_calculation,main,4000000,19.058672752998973,304,10000,11640509.369100103
prime_calculation,main,4000000,19.4985060300005,309,1000,12980491.342028696
prime_calculation,main,4000000,19.147979172001214,302,1000,12829188.929739734
prime_calculation,main,4000000,19.160503150000295,300,1000,11989000.328196086
